# t_s,ankle_deg,vF_mV,vE_mV,f_DF_Hz,u_DF,f_PF_Hz,u_PF
0.010350,15.886561,22.005408,19.170438,19.291820,0.000000,0.000000,0.000000
0.010500,15.914981,22.097871,19.275103,19.233945,0.000000,0.000000,0.000000
0.010650,15.936512,22.189335,19.378853,19.176243,0.000000,0.000000,0.000000
0.010800,15.950218,22.279799,19.481687,19.118714,0.000000,0.000000,0.000000
0.010950,15.955406,22.369265,19.583604,19.061358,0.000000,0.000000,0.000000
0.011100,15.951643,22.457733,19.684601,19.004174,0.000000,0.000000,0.000000
0.011250,15.938776,22.545206,19.784679,18.947161,0.000000,0.000000,0.000000
0.011400,15.916927,22.631683,19.883836,18.890320,0.000000,0.000000,0.000000
0.011550,15.886491,22.717166,19.982070,18.833649,0.000000,0.000000,0.000000
0.011700,15.848116,22.801657,20.079382,18.777148,0.000000,0.000000,0.000000
0.011850,15.802686,22.885157,20.175770,18.720816,0.000000,0.000000,0.000000
0.012000,15.751280,22.967668,20.271234,18.664654,0.000000,0.000000,0.000000
0.012150,15.695135,23.049190,20.365773,18.608660,0.000000,0.000000,0.000000
0.012300,15.635598,23.129727,20.459387,18.552834,0.000000,0.000000,0.000000
0.012450,15.574072,23.209279,20.552077,18.497176,0.000000,0.000000,0.000000
0.012600,15.511954,23.287848,20.643841,18.441684,0.000000,0.000000,0.000000
0.012750,15.450575,23.365437,20.734679,18.386359,0.000000,0.000000,0.000000
0.012900,15.391139,23.442048,20.824593,18.331200,0.000000,0.000000,0.000000
0.013050,15.334698,23.517682,20.913581,18.276206,0.000000,0.000000,0.000000
0.013200,15.282135,23.592341,21.001645,18.221378,0.000000,0.000000,0.000000
0.013350,15.234164,23.666029,21.088784,18.166714,0.000000,0.000000,0.000000
0.013500,15.191319,23.738747,21.175000,18.112213,0.000000,0.000000,0.000000
0.013650,15.153965,23.810497,21.260292,18.057877,0.000000,0.000000,0.000000
0.013800,15.122298,23.881283,21.344662,18.003703,0.000000,0.000000,0.000000
0.013950,15.096356,23.951106,21.428110,17.949692,0.000000,0.000000,0.000000
0.014100,15.076034,24.019969,21.510637,17.895843,0.000000,0.000000,0.000000
0.014250,15.061092,24.087875,21.592244,17.842155,0.000000,0.000000,0.000000
0.014400,15.051178,24.154827,21.672932,17.788629,0.111111,0.000000,0.000000
0.014550,15.045893,24.220827,21.752702,17.735263,0.221889,0.000000,0.000000
0.014700,15.044820,24.285879,21.831556,17.682057,0.289952,0.000000,0.000000
0.014850,15.047547,24.349984,21.909494,17.629011,0.289082,0.000000,0.000000
0.015000,15.053634,24.413147,21.986519,17.576124,0.288215,0.000000,0.000000
0.015150,15.062589,24.475370,22.062631,17.523396,0.287350,0.000000,0.000000
0.015300,15.073854,24.536655,22.137832,17.470826,0.286488,0.000000,0.000000
0.015450,15.086825,24.597007,22.212124,17.418413,0.285628,0.000000,0.000000
0.015600,15.100862,24.656429,22.285508,17.366158,0.284772,0.000000,0.000000
0.015750,15.115314,24.714923,22.357986,17.314059,0.283917,0.000000,0.000000
0.015900,15.129535,24.772493,22.429561,17.262117,0.283066,0.000000,0.000000
0.016050,15.142900,24.829142,22.500233,17.210331,0.282216,0.000000,0.000000
0.016200,15.154832,24.884874,22.570005,17.158700,0.281370,0.000000,0.000000
0.016350,15.164807,24.939692,22.638879,17.107224,0.280526,0.000000,0.000000
0.016500,15.172380,24.993600,22.706856,17.055902,0.279684,0.000000,0.000000
0.016650,15.177188,25.046601,22.773940,17.004734,0.278845,0.000000,0.000000
0.016800,15.178970,25.098698,22.840133,16.953720,0.278008,0.000000,0.000000
0.016950,15.177567,25.149895,22.905436,16.902859,0.277174,0.000000,0.000000
0.017100,15.172932,25.200197,22.969851,16.852150,0.276343,0.000000,0.000000
0.017250,15.165126,25.249606,23.033383,16.801594,0.275514,0.000000,0.000000
0.017400,15.154319,25.298126,23.096032,16.751189,0.274687,0.000000,0.000000
0.017550,15.140783,25.345761,23.157801,16.700936,0.273863,0.000000,0.000000
0.017700,15.124883,25.392515,23.218694,16.650833,0.273042,0.000000,0.000000
0.017850,15.107066,25.438392,23.278712,16.600880,0.272223,0.000000,0.000000
0.018000,15.087845,25.483395,23.337859,16.551078,0.271406,0.000000,0.000000
0.018150,15.067782,25.527528,23.396136,16.501424,0.270592,0.000000,0.000000
0.018300,15.047473,25.570796,23.453547,16.451920,0.269780,0.000000,0.000000
0.018450,15.027527,25.613203,23.510095,16.402564,0.268971,0.000000,0.000000
0.018600,15.008547,25.654751,23.565783,16.353357,0.268164,0.000000,0.000000
0.018750,14.991109,25.695447,23.620613,16.304297,0.267359,0.000000,0.000000
0.018900,14.975749,25.735292,23.674588,16.255384,0.266557,0.000000,0.000000
0.019050,14.962939,25.774292,23.727712,16.206618,0.265757,0.000000,0.000000
0.019200,14.953077,25.812451,23.779988,16.157998,0.264960,0.000000,0.000000
0.019350,14.946472,25.849773,23.831418,16.109524,0.264165,0.000000,0.000000
0.019500,14.943334,25.886262,23.882006,16.061195,0.263373,0.000000,0.000000
0.019650,14.943771,25.921921,23.931755,16.013012,0.262583,0.000000,0.000000
0.019800,14.947778,25.956757,23.980668,15.964973,0.261795,0.000000,0.000000
0.019950,14.955243,25.990772,24.028749,15.917078,0.261009,0.000000,0.000000
0.020100,14.965951,26.023971,24.076001,15.869326,0.260226,0.000000,0.000000
0.020250,14.979583,26.056358,24.122427,15.821718,0.259446,0.000000,0.000000
0.020400,14.995736,26.087938,24.168031,15.774253,0.258667,0.000000,0.000000
0.020550,15.013930,26.118715,24.212815,15.726930,0.257891,0.000000,0.000000
0.020700,15.033624,26.148693,24.256784,15.679750,0.257118,0.000000,0.000000
0.020850,15.054236,26.177877,24.299941,15.632710,0.256346,0.000000,0.000000
0.021000,15.075160,26.206271,24.342290,15.585812,0.255577,0.000000,0.000000
0.021150,15.095787,26.233879,24.383834,15.539055,0.254811,0.000000,0.000000
0.021300,15.115527,26.260707,24.424576,15.492438,0.254046,0.000000,0.000000
0.021450,15.133827,26.286758,24.464520,15.445960,0.253284,0.000000,0.000000
0.021600,15.150189,26.312036,24.503671,15.399623,0.252524,0.000000,0.000000
0.021750,15.164192,26.336547,24.542031,15.353424,0.251767,0.000000,0.000000
0.021900,15.175500,26.360295,24.579604,15.307363,0.251011,0.000000,0.000000
0.022050,15.183879,26.383284,24.616394,15.261441,0.250258,0.000000,0.000000
0.022200,15.189205,26.405519,24.652405,15.215657,0.249508,0.000000,0.000000
0.022350,15.191463,26.427004,24.687641,15.170010,0.248759,0.000000,0.000000
0.022500,15.190755,26.447745,24.722104,15.124500,0.248013,0.000000,0.000000
0.022650,15.187291,26.467745,24.755800,15.079126,0.247269,0.000000,0.000000
0.022800,15.181382,26.487009,24.788732,15.033889,0.246527,0.000000,0.000000
0.022950,15.173431,26.505541,24.820904,14.988787,0.245787,0.000000,0.000000
0.023100,15.163916,26.523347,24.852320,14.943821,0.245050,0.000000,0.000000
0.023250,15.153373,26.540431,24.882983,14.898990,0.244315,0.000000,0.000000
0.023400,15.142376,26.556797,24.912898,14.854293,0.243582,0.000000,0.000000
0.023550,15.131519,26.572450,24.942068,14.809730,0.242851,0.000000,0.000000
0.023700,15.121389,26.587395,24.970498,14.765301,0.242123,0.000000,0.000000
0.023850,15.112549,26.601636,24.998191,14.721005,0.241396,0.000000,0.000000
0.024000,15.105517,26.615177,25.025152,14.676842,0.240672,0.000000,0.000000
0.024150,15.100744,26.628025,25.051384,14.632811,0.239950,0.000000,0.000000
0.024300,15.098600,26.640183,25.076892,14.588913,0.239230,0.000000,0.000000
0.024450,15.099360,26.651655,25.101680,14.545146,0.238512,0.000000,0.000000
0.024600,15.103194,26.662447,25.125751,14.501511,0.237797,0.000000,0.000000
0.024750,15.110159,26.672563,25.149109,14.458006,0.237084,0.000000,0.000000
0.024900,15.120200,26.682008,25.171760,14.414632,0.236372,0.000000,0.000000
0.025050,15.133149,26.690786,25.193707,14.371388,0.235663,0.000000,0.000000
0.025200,15.148733,26.698902,25.214953,14.328274,0.234956,0.000000,0.000000
0.025350,15.166583,26.706361,25.235504,14.285289,0.234251,0.000000,0.000000
0.025500,15.186248,26.713167,25.255362,14.242433,0.233549,0.000000,0.000000
0.025650,15.207212,26.719325,25.274534,14.199706,0.232848,0.000000,0.000000
0.025800,15.228915,26.724840,25.293022,14.157107,0.232149,0.000000,0.000000
0.025950,15.250771,26.729716,25.310830,14.114635,0.231453,0.000000,0.000000
0.026100,15.272195,26.733958,25.327963,14.072292,0.230759,0.000000,0.000000
0.026250,15.292620,26.737570,25.344426,14.030075,0.230066,0.000000,0.000000
0.026400,15.311524,26.740558,25.360222,13.987984,0.229376,0.000000,0.000000
0.026550,15.328447,26.742925,25.375355,13.946021,0.228688,0.000000,0.000000
0.026700,15.343012,26.744677,25.389829,13.904182,0.228002,0.000000,0.000000
0.026850,15.354937,26.745818,25.403650,13.862470,0.227318,0.000000,0.000000
0.027000,15.364049,26.746353,25.416820,13.820883,0.226636,0.000000,0.000000
0.027150,15.370287,26.746286,25.429345,13.779420,0.225956,0.000000,0.000000
0.027300,15.373709,26.745622,25.441228,13.738082,0.225278,0.000000,0.000000
0.027450,15.374485,26.744366,25.452474,13.696867,0.224602,0.000000,0.000000
0.027600,15.372894,26.742521,25.463087,13.655777,0.223928,0.000000,0.000000
0.027750,15.369310,26.740094,25.473071,13.614809,0.223257,0.000000,0.000000
