# kaynak veri/kopru/capraz_kontrol.npz; CSV 1/10 seyreltildi, PNG tam cozunurlukten cizildi; voltaj maks fark 0 mV
# dogrulama_capraz.png kaynak verisi
t_ms,v_hoc,v_py,fark_mV
44.5,-67.6575,-67.6575,0
44.75,-67.6453,-67.6453,0
45,-67.6331,-67.6331,0
45.25,-67.621,-67.621,0
45.5,-67.6089,-67.6089,0
45.75,-67.5969,-67.5969,0
46,-67.585,-67.585,0
46.25,-67.573,-67.573,0
46.5,-67.5612,-67.5612,0
46.75,-67.5493,-67.5493,0
47,-67.5376,-67.5376,0
47.25,-67.5258,-67.5258,0
47.5,-67.5142,-67.5142,0
47.75,-67.5025,-67.5025,0
48,-67.4909,-67.4909,0
48.25,-67.4794,-67.4794,0
48.5,-67.4679,-67.4679,0
48.75,-67.4565,-67.4565,0
49,-67.4451,-67.4451,0
49.25,-67.4337,-67.4337,0
49.5,-67.4224,-67.4224,0
49.75,-67.4111,-67.4111,0
50,-67.3999,-67.3999,0
50.25,-67.3888,-67.3888,0
50.5,-67.3776,-67.3776,0
50.75,-67.3666,-67.3666,0
51,-67.3555,-67.3555,0
51.25,-67.3446,-67.3446,0
51.5,-67.3336,-67.3336,0
51.75,-67.3227,-67.3227,0
52,-67.3119,-67.3119,0
52.25,-67.3011,-67.3011,0
52.5,-67.2904,-67.2904,0
52.75,-67.2796,-67.2796,0
53,-67.269,-67.269,0
53.25,-67.2584,-67.2584,0
53.5,-67.2478,-67.2478,0
53.75,-67.2373,-67.2373,0
54,-67.2268,-67.2268,0
54.25,-67.2163,-67.2163,0
54.5,-67.2059,-67.2059,0
54.75,-67.1956,-67.1956,0
55,-67.1853,-67.1853,0
55.25,-67.175,-67.175,0
55.5,-67.1648,-67.1648,0
55.75,-67.1546,-67.1546,0
56,-67.1445,-67.1445,0
56.25,-67.1344,-67.1344,0
56.5,-67.1244,-67.1244,0
56.75,-67.1144,-67.1144,0
57,-67.1044,-67.1044,0
57.25,-67.0945,-67.0945,0
57.5,-67.0846,-67.0846,0
57.75,-67.0748,-67.0748,0
58,-67.065,-67.065,0
58.25,-67.0553,-67.0553,0
58.5,-67.0456,-67.0456,0
58.75,-67.0359,-67.0359,0
59,-67.0263,-67.0263,0
59.25,-67.0167,-67.0167,0
59.5,-67.0072,-67.0072,0
59.75,-66.9977,-66.9977,0
60,-66.9882,-66.9882,0
60.25,-66.9788,-66.9788,0
60.5,-66.9694,-66.9694,0
60.75,-66.9601,-66.9601,0
61,-66.9508,-66.9508,0
61.25,-66.9416,-66.9416,0
61.5,-66.9323,-66.9323,0
61.75,-66.9232,-66.9232,0
62,-66.914,-66.914,0
62.25,-66.905,-66.905,0
62.5,-66.8959,-66.8959,0
62.75,-66.8869,-66.8869,0
63,-66.8779,-66.8779,0
63.25,-66.869,-66.869,0
63.5,-66.8601,-66.8601,0
63.75,-66.8512,-66.8512,0
64,-66.8424,-66.8424,0
64.25,-66.8337,-66.8337,0
64.5,-66.8249,-66.8249,0
64.75,-66.8162,-66.8162,0
65,-66.8076,-66.8076,0
65.25,-66.7989,-66.7989,0
65.5,-66.7903,-66.7903,0
65.75,-66.7818,-66.7818,0
66,-66.7733,-66.7733,0
66.25,-66.7648,-66.7648,0
66.5,-66.7564,-66.7564,0
66.75,-66.748,-66.748,0
67,-66.7396,-66.7396,0
67.25,-66.7313,-66.7313,0
67.5,-66.723,-66.723,0
67.75,-66.7148,-66.7148,0
68,-66.7065,-66.7065,0
68.25,-66.6984,-66.6984,0
68.5,-66.6902,-66.6902,0
68.75,-66.6821,-66.6821,0
69,-66.674,-66.674,0
69.25,-66.666,-66.666,0
69.5,-66.658,-66.658,0
69.75,-66.65,-66.65,0
70,-66.6421,-66.6421,0
70.25,-66.6342,-66.6342,0
70.5,-66.6264,-66.6264,0
70.75,-66.6185,-66.6185,0
71,-66.6107,-66.6107,0
71.25,-66.603,-66.603,0
71.5,-66.5953,-66.5953,0
71.75,-66.5876,-66.5876,0
72,-66.5799,-66.5799,0
72.25,-66.5723,-66.5723,0
72.5,-66.5647,-66.5647,0
72.75,-66.5572,-66.5572,0
73,-66.5496,-66.5496,0
73.25,-66.5422,-66.5422,0
73.5,-66.5347,-66.5347,0
73.75,-66.5273,-66.5273,0
74,-66.5199,-66.5199,0
74.25,-66.5125,-66.5125,0
74.5,-66.5052,-66.5052,0
74.75,-66.4979,-66.4979,0
75,-66.4907,-66.4907,0
75.25,-66.4834,-66.4834,0
75.5,-66.4762,-66.4762,0
75.75,-66.4691,-66.4691,0
76,-66.4619,-66.4619,0
76.25,-66.4548,-66.4548,0
76.5,-66.4477,-66.4477,0
76.75,-66.4407,-66.4407,0
77,-66.4337,-66.4337,0
77.25,-66.4267,-66.4267,0
77.5,-66.4198,-66.4198,0
77.75,-66.4128,-66.4128,0
