# kaynak veri/kopru/capraz_kontrol.npz; CSV 1/10 seyreltildi, PNG tam cozunurlukten cizildi; voltaj maks fark 0 mV
# dogrulama_capraz.png kaynak verisi
t_ms,v_hoc,v_py,fark_mV
573.75,-62.213,-62.213,0
574,-62.2113,-62.2113,0
574.25,-62.2096,-62.2096,0
574.5,-62.2078,-62.2078,0
574.75,-62.2061,-62.2061,0
575,-62.2044,-62.2044,0
575.25,-62.2027,-62.2027,0
575.5,-62.201,-62.201,0
575.75,-62.1992,-62.1992,0
576,-62.1975,-62.1975,0
576.25,-62.1958,-62.1958,0
576.5,-62.1941,-62.1941,0
576.75,-62.1923,-62.1923,0
577,-62.1906,-62.1906,0
577.25,-62.1889,-62.1889,0
577.5,-62.1872,-62.1872,0
577.75,-62.1854,-62.1854,0
578,-62.1837,-62.1837,0
578.25,-62.182,-62.182,0
578.5,-62.1803,-62.1803,0
578.75,-62.1785,-62.1785,0
579,-62.1768,-62.1768,0
579.25,-62.1751,-62.1751,0
579.5,-62.1733,-62.1733,0
579.75,-62.1716,-62.1716,0
580,-62.1699,-62.1699,0
580.25,-62.1682,-62.1682,0
580.5,-62.1664,-62.1664,0
580.75,-62.1647,-62.1647,0
581,-62.163,-62.163,0
581.25,-62.1613,-62.1613,0
581.5,-62.1595,-62.1595,0
581.75,-62.1578,-62.1578,0
582,-62.1561,-62.1561,0
582.25,-62.1543,-62.1543,0
582.5,-62.1526,-62.1526,0
582.75,-62.1509,-62.1509,0
583,-62.1492,-62.1492,0
583.25,-62.1474,-62.1474,0
583.5,-62.1457,-62.1457,0
583.75,-62.144,-62.144,0
584,-62.1422,-62.1422,0
584.25,-62.1405,-62.1405,0
584.5,-62.1388,-62.1388,0
584.75,-62.137,-62.137,0
585,-62.1353,-62.1353,0
585.25,-62.1336,-62.1336,0
585.5,-62.1318,-62.1318,0
585.75,-62.1301,-62.1301,0
586,-62.1284,-62.1284,0
586.25,-62.1267,-62.1267,0
586.5,-62.1249,-62.1249,0
586.75,-62.1232,-62.1232,0
587,-62.1215,-62.1215,0
587.25,-62.1197,-62.1197,0
587.5,-62.118,-62.118,0
587.75,-62.1163,-62.1163,0
588,-62.1145,-62.1145,0
588.25,-62.1128,-62.1128,0
588.5,-62.1111,-62.1111,0
588.75,-62.1093,-62.1093,0
589,-62.1076,-62.1076,0
589.25,-62.1059,-62.1059,0
589.5,-62.1041,-62.1041,0
589.75,-62.1024,-62.1024,0
590,-62.1007,-62.1007,0
590.25,-62.0989,-62.0989,0
590.5,-62.0972,-62.0972,0
590.75,-62.0954,-62.0954,0
591,-62.0937,-62.0937,0
591.25,-62.092,-62.092,0
591.5,-62.0902,-62.0902,0
591.75,-62.0885,-62.0885,0
592,-62.0868,-62.0868,0
592.25,-62.085,-62.085,0
592.5,-62.0833,-62.0833,0
592.75,-62.0816,-62.0816,0
593,-62.0798,-62.0798,0
593.25,-62.0781,-62.0781,0
593.5,-62.0763,-62.0763,0
593.75,-62.0746,-62.0746,0
594,-62.0729,-62.0729,0
594.25,-62.0711,-62.0711,0
594.5,-62.0694,-62.0694,0
594.75,-62.0677,-62.0677,0
595,-62.0659,-62.0659,0
595.25,-62.0642,-62.0642,0
595.5,-62.0624,-62.0624,0
595.75,-62.0607,-62.0607,0
596,-62.059,-62.059,0
596.25,-62.0572,-62.0572,0
596.5,-62.0555,-62.0555,0
596.75,-62.0537,-62.0537,0
597,-62.052,-62.052,0
597.25,-62.0503,-62.0503,0
597.5,-62.0485,-62.0485,0
597.75,-62.0468,-62.0468,0
598,-62.045,-62.045,0
598.25,-62.0433,-62.0433,0
598.5,-62.0416,-62.0416,0
598.75,-62.0398,-62.0398,0
599,-62.0381,-62.0381,0
599.25,-62.0363,-62.0363,0
599.5,-62.0346,-62.0346,0
599.75,-62.0328,-62.0328,0
600,-62.0311,-62.0311,0
600.25,-62.0294,-62.0294,0
600.5,-62.0276,-62.0276,0
600.75,-62.0259,-62.0259,0
601,-62.0241,-62.0241,0
601.25,-62.0224,-62.0224,0
601.5,-62.0206,-62.0206,0
601.75,-62.0189,-62.0189,0
602,-62.0171,-62.0171,0
602.25,-62.0154,-62.0154,0
602.5,-62.0137,-62.0137,0
602.75,-62.0119,-62.0119,0
603,-62.0102,-62.0102,0
603.25,-62.0084,-62.0084,0
603.5,-62.0067,-62.0067,0
603.75,-62.0049,-62.0049,0
604,-62.0032,-62.0032,0
604.25,-62.0014,-62.0014,0
604.5,-61.9997,-61.9997,0
604.75,-61.9979,-61.9979,0
605,-61.9962,-61.9962,0
605.25,-61.9944,-61.9944,0
605.5,-61.9927,-61.9927,0
605.75,-61.991,-61.991,0
606,-61.9892,-61.9892,0
606.25,-61.9875,-61.9875,0
606.5,-61.9857,-61.9857,0
606.75,-61.984,-61.984,0
607,-61.9822,-61.9822,0
607.25,-61.9805,-61.9805,0
607.5,-61.9787,-61.9787,0
607.75,-61.977,-61.977,0
608,-61.9752,-61.9752,0
608.25,-61.9735,-61.9735,0
608.5,-61.9717,-61.9717,0
608.75,-61.97,-61.97,0
609,-61.9682,-61.9682,0
609.25,-61.9665,-61.9665,0
609.5,-61.9647,-61.9647,0
609.75,-61.963,-61.963,0
610,-61.9612,-61.9612,0
610.25,-61.9595,-61.9595,0
610.5,-61.9577,-61.9577,0
610.75,-61.956,-61.956,0
611,-61.9542,-61.9542,0
611.25,-61.9525,-61.9525,0
611.5,-61.9507,-61.9507,0
611.75,-61.9489,-61.9489,0
612,-61.9472,-61.9472,0
612.25,-61.9454,-61.9454,0
612.5,-61.9437,-61.9437,0
612.75,-61.9419,-61.9419,0
613,-61.9402,-61.9402,0
613.25,-61.9384,-61.9384,0
613.5,-61.9367,-61.9367,0
613.75,-61.9349,-61.9349,0
614,-61.9332,-61.9332,0
614.25,-61.9314,-61.9314,0
614.5,-61.9296,-61.9296,0
614.75,-61.9279,-61.9279,0
615,-61.9261,-61.9261,0
615.25,-61.9244,-61.9244,0
615.5,-61.9226,-61.9226,0
615.75,-61.9209,-61.9209,0
616,-61.9191,-61.9191,0
616.25,-61.9174,-61.9174,0
616.5,-61.9156,-61.9156,0
616.75,-61.9138,-61.9138,0
617,-61.9121,-61.9121,0
617.25,-61.9103,-61.9103,0
617.5,-61.9086,-61.9086,0
617.75,-61.9068,-61.9068,0
618,-61.9051,-61.9051,0
618.25,-61.9033,-61.9033,0
618.5,-61.9015,-61.9015,0
618.75,-61.8998,-61.8998,0
619,-61.898,-61.898,0
619.25,-61.8963,-61.8963,0
619.5,-61.8945,-61.8945,0
619.75,-61.8927,-61.8927,0
620,-61.891,-61.891,0
620.25,-61.8892,-61.8892,0
620.5,-61.8875,-61.8875,0
620.75,-61.8857,-61.8857,0
621,-61.8839,-61.8839,0
621.25,-61.8822,-61.8822,0
621.5,-61.8804,-61.8804,0
621.75,-61.8787,-61.8787,0
622,-61.8769,-61.8769,0
622.25,-61.8751,-61.8751,0
622.5,-61.8734,-61.8734,0
622.75,-61.8716,-61.8716,0
623,-61.8698,-61.8698,0
623.25,-61.8681,-61.8681,0
623.5,-61.8663,-61.8663,0
623.75,-61.8646,-61.8646,0
624,-61.8628,-61.8628,0
624.25,-61.861,-61.861,0
624.5,-61.8593,-61.8593,0
624.75,-61.8575,-61.8575,0
625,-61.8557,-61.8557,0
625.25,-61.854,-61.854,0
625.5,-61.8522,-61.8522,0
625.75,-61.8504,-61.8504,0
626,-61.8487,-61.8487,0
626.25,-61.8469,-61.8469,0
626.5,-61.8451,-61.8451,0
626.75,-61.8434,-61.8434,0
627,-61.8416,-61.8416,0
627.25,-61.8398,-61.8398,0
627.5,-61.8381,-61.8381,0
627.75,-61.8363,-61.8363,0
628,-61.8345,-61.8345,0
628.25,-61.8328,-61.8328,0
628.5,-61.831,-61.831,0
628.75,-61.8292,-61.8292,0
629,-61.8275,-61.8275,0
629.25,-61.8257,-61.8257,0
629.5,-61.8239,-61.8239,0
629.75,-61.8222,-61.8222,0
630,-61.8204,-61.8204,0
630.25,-61.8186,-61.8186,0
630.5,-61.8169,-61.8169,0
630.75,-61.8151,-61.8151,0
631,-61.8133,-61.8133,0
631.25,-61.8115,-61.8115,0
631.5,-61.8098,-61.8098,0
631.75,-61.808,-61.808,0
632,-61.8062,-61.8062,0
632.25,-61.8045,-61.8045,0
632.5,-61.8027,-61.8027,0
632.75,-61.8009,-61.8009,0
633,-61.7992,-61.7992,0
633.25,-61.7974,-61.7974,0
633.5,-61.7956,-61.7956,0
633.75,-61.7938,-61.7938,0
634,-61.7921,-61.7921,0
634.25,-61.7903,-61.7903,0
634.5,-61.7885,-61.7885,0
634.75,-61.7867,-61.7867,0
635,-61.785,-61.785,0
635.25,-61.7832,-61.7832,0
635.5,-61.7814,-61.7814,0
635.75,-61.7796,-61.7796,0
636,-61.7779,-61.7779,0
636.25,-61.7761,-61.7761,0
636.5,-61.7743,-61.7743,0
636.75,-61.7725,-61.7725,0
637,-61.7708,-61.7708,0
637.25,-61.769,-61.769,0
637.5,-61.7672,-61.7672,0
637.75,-61.7654,-61.7654,0
638,-61.7637,-61.7637,0
638.25,-61.7619,-61.7619,0
638.5,-61.7601,-61.7601,0
638.75,-61.7583,-61.7583,0
639,-61.7566,-61.7566,0
639.25,-61.7548,-61.7548,0
639.5,-61.753,-61.753,0
639.75,-61.7512,-61.7512,0
640,-61.7494,-61.7494,0
640.25,-61.7477,-61.7477,0
640.5,-61.7459,-61.7459,0
640.75,-61.7441,-61.7441,0
641,-61.7423,-61.7423,0
641.25,-61.7405,-61.7405,0
641.5,-61.7388,-61.7388,0
641.75,-61.737,-61.737,0
642,-61.7352,-61.7352,0
642.25,-61.7334,-61.7334,0
642.5,-61.7316,-61.7316,0
642.75,-61.7299,-61.7299,0
643,-61.7281,-61.7281,0
643.25,-61.7263,-61.7263,0
643.5,-61.7245,-61.7245,0
643.75,-61.7227,-61.7227,0
644,-61.721,-61.721,0
644.25,-61.7192,-61.7192,0
644.5,-61.7174,-61.7174,0
644.75,-61.7156,-61.7156,0
645,-61.7138,-61.7138,0
645.25,-61.712,-61.712,0
645.5,-61.7103,-61.7103,0
645.75,-61.7085,-61.7085,0
646,-61.7067,-61.7067,0
646.25,-61.7049,-61.7049,0
646.5,-61.7031,-61.7031,0
646.75,-61.7013,-61.7013,0
647,-61.6996,-61.6996,0
647.25,-61.6978,-61.6978,0
647.5,-61.696,-61.696,0
647.75,-61.6942,-61.6942,0
648,-61.6924,-61.6924,0
648.25,-61.6906,-61.6906,0
648.5,-61.6888,-61.6888,0
648.75,-61.687,-61.687,0
649,-61.6853,-61.6853,0
649.25,-61.6835,-61.6835,0
649.5,-61.6817,-61.6817,0
649.75,-61.6799,-61.6799,0
650,-61.6781,-61.6781,0
650.25,-61.6763,-61.6763,0
650.5,-61.6745,-61.6745,0
650.75,-61.6727,-61.6727,0
651,-61.671,-61.671,0
651.25,-61.6692,-61.6692,0
651.5,-61.6674,-61.6674,0
651.75,-61.6656,-61.6656,0
652,-61.6638,-61.6638,0
652.25,-61.662,-61.662,0
652.5,-61.6602,-61.6602,0
652.75,-61.6584,-61.6584,0
653,-61.6566,-61.6566,0
653.25,-61.6548,-61.6548,0
653.5,-61.6531,-61.6531,0
653.75,-61.6513,-61.6513,0
654,-61.6495,-61.6495,0
654.25,-61.6477,-61.6477,0
654.5,-61.6459,-61.6459,0
654.75,-61.6441,-61.6441,0
655,-61.6423,-61.6423,0
655.25,-61.6405,-61.6405,0
655.5,-61.6387,-61.6387,0
655.75,-61.6369,-61.6369,0
656,-61.6351,-61.6351,0
656.25,-61.6333,-61.6333,0
656.5,-61.6315,-61.6315,0
656.75,-61.6297,-61.6297,0
657,-61.6279,-61.6279,0
657.25,-61.6261,-61.6261,0
657.5,-61.6244,-61.6244,0
657.75,-61.6226,-61.6226,0
658,-61.6208,-61.6208,0
658.25,-61.619,-61.619,0
658.5,-61.6172,-61.6172,0
658.75,-61.6154,-61.6154,0
659,-61.6136,-61.6136,0
659.25,-61.6118,-61.6118,0
659.5,-61.61,-61.61,0
659.75,-61.6082,-61.6082,0
660,-61.6064,-61.6064,0
660.25,-61.6046,-61.6046,0
660.5,-61.6028,-61.6028,0
660.75,-61.601,-61.601,0
661,-61.5992,-61.5992,0
661.25,-61.5974,-61.5974,0
661.5,-61.5956,-61.5956,0
661.75,-61.5938,-61.5938,0
662,-61.592,-61.592,0
662.25,-61.5902,-61.5902,0
662.5,-61.5884,-61.5884,0
662.75,-61.5866,-61.5866,0
663,-61.5848,-61.5848,0
663.25,-61.583,-61.583,0
663.5,-61.5812,-61.5812,0
663.75,-61.5794,-61.5794,0
664,-61.5776,-61.5776,0
664.25,-61.5758,-61.5758,0
664.5,-61.574,-61.574,0
664.75,-61.5722,-61.5722,0
665,-61.5704,-61.5704,0
665.25,-61.5686,-61.5686,0
665.5,-61.5668,-61.5668,0
665.75,-61.565,-61.565,0
666,-61.5631,-61.5631,0
666.25,-61.5613,-61.5613,0
666.5,-61.5595,-61.5595,0
666.75,-61.5577,-61.5577,0
667,-61.5559,-61.5559,0
667.25,-61.5541,-61.5541,0
667.5,-61.5523,-61.5523,0
667.75,-61.5505,-61.5505,0
668,-61.5487,-61.5487,0
668.25,-61.5469,-61.5469,0
668.5,-61.5451,-61.5451,0
668.75,-61.5433,-61.5433,0
669,-61.5415,-61.5415,0
669.25,-61.5397,-61.5397,0
669.5,-61.5379,-61.5379,0
669.75,-61.536,-61.536,0
670,-61.5342,-61.5342,0
670.25,-61.5324,-61.5324,0
670.5,-61.5306,-61.5306,0
670.75,-61.5288,-61.5288,0
671,-61.527,-61.527,0
671.25,-61.5252,-61.5252,0
671.5,-61.5234,-61.5234,0
671.75,-61.5216,-61.5216,0
672,-61.5198,-61.5198,0
672.25,-61.518,-61.518,0
672.5,-61.5161,-61.5161,0
672.75,-61.5143,-61.5143,0
673,-61.5125,-61.5125,0
673.25,-61.5107,-61.5107,0
673.5,-61.5089,-61.5089,0
673.75,-61.5071,-61.5071,0
674,-61.5053,-61.5053,0
674.25,-61.5035,-61.5035,0
674.5,-61.5016,-61.5016,0
674.75,-61.4998,-61.4998,0
675,-61.498,-61.498,0
675.25,-61.4962,-61.4962,0
675.5,-61.4944,-61.4944,0
675.75,-61.4926,-61.4926,0
676,-61.4908,-61.4908,0
676.25,-61.4889,-61.4889,0
676.5,-61.4871,-61.4871,0
676.75,-61.4853,-61.4853,0
677,-61.4835,-61.4835,0
677.25,-61.4817,-61.4817,0
677.5,-61.4799,-61.4799,0
677.75,-61.478,-61.478,0
678,-61.4762,-61.4762,0
678.25,-61.4744,-61.4744,0
678.5,-61.4726,-61.4726,0
678.75,-61.4708,-61.4708,0
679,-61.469,-61.469,0
679.25,-61.4671,-61.4671,0
679.5,-61.4653,-61.4653,0
679.75,-61.4635,-61.4635,0
680,-61.4617,-61.4617,0
680.25,-61.4599,-61.4599,0
680.5,-61.458,-61.458,0
680.75,-61.4562,-61.4562,0
681,-61.4544,-61.4544,0
681.25,-61.4526,-61.4526,0
681.5,-61.4508,-61.4508,0
681.75,-61.4489,-61.4489,0
682,-61.4471,-61.4471,0
682.25,-61.4453,-61.4453,0
682.5,-61.4435,-61.4435,0
682.75,-61.4416,-61.4416,0
683,-61.4398,-61.4398,0
683.25,-61.438,-61.438,0
683.5,-61.4362,-61.4362,0
683.75,-61.4343,-61.4343,0
684,-61.4325,-61.4325,0
684.25,-61.4307,-61.4307,0
684.5,-61.4289,-61.4289,0
684.75,-61.4271,-61.4271,0
685,-61.4252,-61.4252,0
685.25,-61.4234,-61.4234,0
685.5,-61.4216,-61.4216,0
685.75,-61.4198,-61.4198,0
686,-61.4179,-61.4179,0
686.25,-61.4161,-61.4161,0
686.5,-61.4143,-61.4143,0
686.75,-61.4124,-61.4124,0
687,-61.4106,-61.4106,0
687.25,-61.4088,-61.4088,0
687.5,-61.407,-61.407,0
687.75,-61.4051,-61.4051,0
688,-61.4033,-61.4033,0
688.25,-61.4015,-61.4015,0
688.5,-61.3996,-61.3996,0
688.75,-61.3978,-61.3978,0
689,-61.396,-61.396,0
689.25,-61.3942,-61.3942,0
689.5,-61.3923,-61.3923,0
689.75,-61.3905,-61.3905,0
690,-61.3887,-61.3887,0
690.25,-61.3868,-61.3868,0
690.5,-61.385,-61.385,0
690.75,-61.3832,-61.3832,0
691,-61.3813,-61.3813,0
691.25,-61.3795,-61.3795,0
691.5,-61.3777,-61.3777,0
691.75,-61.3758,-61.3758,0
692,-61.374,-61.374,0
692.25,-61.3722,-61.3722,0
692.5,-61.3703,-61.3703,0
692.75,-61.3685,-61.3685,0
693,-61.3667,-61.3667,0
693.25,-61.3648,-61.3648,0
693.5,-61.363,-61.363,0
693.75,-61.3612,-61.3612,0
694,-61.3593,-61.3593,0
694.25,-61.3575,-61.3575,0
694.5,-61.3557,-61.3557,0
694.75,-61.3538,-61.3538,0
695,-61.352,-61.352,0
695.25,-61.3502,-61.3502,0
695.5,-61.3483,-61.3483,0
695.75,-61.3465,-61.3465,0
696,-61.3446,-61.3446,0
696.25,-61.3428,-61.3428,0
696.5,-61.341,-61.341,0
696.75,-61.3391,-61.3391,0
697,-61.3373,-61.3373,0
697.25,-61.3355,-61.3355,0
697.5,-61.3336,-61.3336,0
697.75,-61.3318,-61.3318,0
698,-61.3299,-61.3299,0
698.25,-61.3281,-61.3281,0
698.5,-61.3263,-61.3263,0
698.75,-61.3244,-61.3244,0
699,-61.3226,-61.3226,0
699.25,-61.3207,-61.3207,0
699.5,-61.3189,-61.3189,0
699.75,-61.317,-61.317,0
700,-61.3152,-61.3152,0
700.25,-61.3134,-61.3134,0
700.5,-61.3115,-61.3115,0
700.75,-61.3097,-61.3097,0
701,-61.3078,-61.3078,0
701.25,-61.306,-61.306,0
701.5,-61.3041,-61.3041,0
701.75,-61.3023,-61.3023,0
702,-61.3005,-61.3005,0
702.25,-61.2986,-61.2986,0
702.5,-61.2968,-61.2968,0
702.75,-61.2949,-61.2949,0
703,-61.2931,-61.2931,0
703.25,-61.2912,-61.2912,0
703.5,-61.2894,-61.2894,0
703.75,-61.2875,-61.2875,0
704,-61.2857,-61.2857,0
704.25,-61.2838,-61.2838,0
704.5,-61.282,-61.282,0
704.75,-61.2801,-61.2801,0
705,-61.2783,-61.2783,0
705.25,-61.2764,-61.2764,0
705.5,-61.2746,-61.2746,0
705.75,-61.2727,-61.2727,0
706,-61.2709,-61.2709,0
706.25,-61.269,-61.269,0
706.5,-61.2672,-61.2672,0
706.75,-61.2653,-61.2653,0
707,-61.2635,-61.2635,0
707.25,-61.2616,-61.2616,0
707.5,-61.2598,-61.2598,0
707.75,-61.2579,-61.2579,0
708,-61.2561,-61.2561,0
708.25,-61.2542,-61.2542,0
708.5,-61.2524,-61.2524,0
708.75,-61.2505,-61.2505,0
709,-61.2487,-61.2487,0
709.25,-61.2468,-61.2468,0
709.5,-61.245,-61.245,0
709.75,-61.2431,-61.2431,0
710,-61.2413,-61.2413,0
710.25,-61.2394,-61.2394,0
710.5,-61.2376,-61.2376,0
710.75,-61.2357,-61.2357,0
711,-61.2338,-61.2338,0
711.25,-61.232,-61.232,0
711.5,-61.2301,-61.2301,0
711.75,-61.2283,-61.2283,0
712,-61.2264,-61.2264,0
712.25,-61.2246,-61.2246,0
712.5,-61.2227,-61.2227,0
712.75,-61.2208,-61.2208,0
713,-61.219,-61.219,0
713.25,-61.2171,-61.2171,0
713.5,-61.2153,-61.2153,0
713.75,-61.2134,-61.2134,0
714,-61.2116,-61.2116,0
714.25,-61.2097,-61.2097,0
714.5,-61.2078,-61.2078,0
714.75,-61.206,-61.206,0
715,-61.2041,-61.2041,0
715.25,-61.2023,-61.2023,0
715.5,-61.2004,-61.2004,0
715.75,-61.1985,-61.1985,0
716,-61.1967,-61.1967,0
716.25,-61.1948,-61.1948,0
716.5,-61.1929,-61.1929,0
716.75,-61.1911,-61.1911,0
717,-61.1892,-61.1892,0
717.25,-61.1874,-61.1874,0
717.5,-61.1855,-61.1855,0
717.75,-61.1836,-61.1836,0
718,-61.1818,-61.1818,0
718.25,-61.1799,-61.1799,0
718.5,-61.178,-61.178,0
718.75,-61.1762,-61.1762,0
719,-61.1743,-61.1743,0
719.25,-61.1724,-61.1724,0
719.5,-61.1706,-61.1706,0
719.75,-61.1687,-61.1687,0
720,-61.1668,-61.1668,0
720.25,-61.165,-61.165,0
720.5,-61.1631,-61.1631,0
720.75,-61.1612,-61.1612,0
721,-61.1594,-61.1594,0
721.25,-61.1575,-61.1575,0
721.5,-61.1556,-61.1556,0
721.75,-61.1538,-61.1538,0
722,-61.1519,-61.1519,0
722.25,-61.15,-61.15,0
722.5,-61.1481,-61.1481,0
722.75,-61.1463,-61.1463,0
723,-61.1444,-61.1444,0
723.25,-61.1425,-61.1425,0
723.5,-61.1407,-61.1407,0
723.75,-61.1388,-61.1388,0
724,-61.1369,-61.1369,0
724.25,-61.135,-61.135,0
724.5,-61.1332,-61.1332,0
724.75,-61.1313,-61.1313,0
725,-61.1294,-61.1294,0
725.25,-61.1276,-61.1276,0
725.5,-61.1257,-61.1257,0
725.75,-61.1238,-61.1238,0
726,-61.1219,-61.1219,0
726.25,-61.1201,-61.1201,0
726.5,-61.1182,-61.1182,0
726.75,-61.1163,-61.1163,0
727,-61.1144,-61.1144,0
727.25,-61.1126,-61.1126,0
727.5,-61.1107,-61.1107,0
727.75,-61.1088,-61.1088,0
728,-61.1069,-61.1069,0
728.25,-61.105,-61.105,0
728.5,-61.1032,-61.1032,0
728.75,-61.1013,-61.1013,0
729,-61.0994,-61.0994,0
729.25,-61.0975,-61.0975,0
729.5,-61.0957,-61.0957,0
729.75,-61.0938,-61.0938,0
730,-61.0919,-61.0919,0
730.25,-61.09,-61.09,0
730.5,-61.0881,-61.0881,0
730.75,-61.0863,-61.0863,0
731,-61.0844,-61.0844,0
731.25,-61.0825,-61.0825,0
731.5,-61.0806,-61.0806,0
731.75,-61.0787,-61.0787,0
732,-61.0768,-61.0768,0
732.25,-61.075,-61.075,0
732.5,-61.0731,-61.0731,0
732.75,-61.0712,-61.0712,0
733,-61.0693,-61.0693,0
733.25,-61.0674,-61.0674,0
733.5,-61.0655,-61.0655,0
733.75,-61.0637,-61.0637,0
734,-61.0618,-61.0618,0
734.25,-61.0599,-61.0599,0
734.5,-61.058,-61.058,0
734.75,-61.0561,-61.0561,0
735,-61.0542,-61.0542,0
735.25,-61.0523,-61.0523,0
735.5,-61.0505,-61.0505,0
735.75,-61.0486,-61.0486,0
736,-61.0467,-61.0467,0
736.25,-61.0448,-61.0448,0
736.5,-61.0429,-61.0429,0
736.75,-61.041,-61.041,0
737,-61.0391,-61.0391,0
737.25,-61.0372,-61.0372,0
737.5,-61.0353,-61.0353,0
737.75,-61.0335,-61.0335,0
738,-61.0316,-61.0316,0
738.25,-61.0297,-61.0297,0
738.5,-61.0278,-61.0278,0
738.75,-61.0259,-61.0259,0
739,-61.024,-61.024,0
739.25,-61.0221,-61.0221,0
739.5,-61.0202,-61.0202,0
739.75,-61.0183,-61.0183,0
740,-61.0164,-61.0164,0
740.25,-61.0145,-61.0145,0
740.5,-61.0126,-61.0126,0
740.75,-61.0107,-61.0107,0
741,-61.0088,-61.0088,0
741.25,-61.0069,-61.0069,0
741.5,-61.0051,-61.0051,0
741.75,-61.0032,-61.0032,0
742,-61.0013,-61.0013,0
742.25,-60.9994,-60.9994,0
742.5,-60.9975,-60.9975,0
742.75,-60.9956,-60.9956,0
743,-60.9937,-60.9937,0
743.25,-60.9918,-60.9918,0
743.5,-60.9899,-60.9899,0
743.75,-60.988,-60.988,0
744,-60.9861,-60.9861,0
744.25,-60.9842,-60.9842,0
744.5,-60.9823,-60.9823,0
744.75,-60.9804,-60.9804,0
745,-60.9785,-60.9785,0
745.25,-60.9766,-60.9766,0
745.5,-60.9747,-60.9747,0
745.75,-60.9728,-60.9728,0
746,-60.9709,-60.9709,0
746.25,-60.969,-60.969,0
746.5,-60.9671,-60.9671,0
746.75,-60.9652,-60.9652,0
747,-60.9633,-60.9633,0
747.25,-60.9614,-60.9614,0
747.5,-60.9595,-60.9595,0
747.75,-60.9576,-60.9576,0
748,-60.9556,-60.9556,0
748.25,-60.9537,-60.9537,0
748.5,-60.9518,-60.9518,0
748.75,-60.9499,-60.9499,0
749,-60.948,-60.948,0
749.25,-60.9461,-60.9461,0
749.5,-60.9442,-60.9442,0
749.75,-60.9423,-60.9423,0
750,-60.9404,-60.9404,0
750.25,-60.9385,-60.9385,0
750.5,-60.9366,-60.9366,0
750.75,-60.9347,-60.9347,0
751,-60.9328,-60.9328,0
751.25,-60.9309,-60.9309,0
751.5,-60.9289,-60.9289,0
751.75,-60.927,-60.927,0
752,-60.9251,-60.9251,0
752.25,-60.9232,-60.9232,0
752.5,-60.9213,-60.9213,0
752.75,-60.9194,-60.9194,0
753,-60.9175,-60.9175,0
753.25,-60.9156,-60.9156,0
753.5,-60.9137,-60.9137,0
753.75,-60.9117,-60.9117,0
754,-60.9098,-60.9098,0
754.25,-60.9079,-60.9079,0
754.5,-60.906,-60.906,0
754.75,-60.9041,-60.9041,0
755,-60.9022,-60.9022,0
755.25,-60.9003,-60.9003,0
755.5,-60.8983,-60.8983,0
755.75,-60.8964,-60.8964,0
756,-60.8945,-60.8945,0
756.25,-60.8926,-60.8926,0
756.5,-60.8907,-60.8907,0
756.75,-60.8888,-60.8888,0
757,-60.8868,-60.8868,0
757.25,-60.8849,-60.8849,0
757.5,-60.883,-60.883,0
757.75,-60.8811,-60.8811,0
758,-60.8792,-60.8792,0
758.25,-60.8773,-60.8773,0
758.5,-60.8753,-60.8753,0
758.75,-60.8734,-60.8734,0
759,-60.8715,-60.8715,0
759.25,-60.8696,-60.8696,0
759.5,-60.8676,-60.8676,0
759.75,-60.8657,-60.8657,0
760,-60.8638,-60.8638,0
760.25,-60.8619,-60.8619,0
760.5,-60.86,-60.86,0
760.75,-60.858,-60.858,0
761,-60.8561,-60.8561,0
761.25,-60.8542,-60.8542,0
761.5,-60.8523,-60.8523,0
761.75,-60.8503,-60.8503,0
762,-60.8484,-60.8484,0
762.25,-60.8465,-60.8465,0
762.5,-60.8446,-60.8446,0
762.75,-60.8426,-60.8426,0
763,-60.8407,-60.8407,0
763.25,-60.8388,-60.8388,0
763.5,-60.8369,-60.8369,0
763.75,-60.8349,-60.8349,0
764,-60.833,-60.833,0
764.25,-60.8311,-60.8311,0
764.5,-60.8291,-60.8291,0
764.75,-60.8272,-60.8272,0
765,-60.8253,-60.8253,0
765.25,-60.8234,-60.8234,0
765.5,-60.8214,-60.8214,0
765.75,-60.8195,-60.8195,0
766,-60.8176,-60.8176,0
766.25,-60.8156,-60.8156,0
766.5,-60.8137,-60.8137,0
766.75,-60.8118,-60.8118,0
767,-60.8098,-60.8098,0
767.25,-60.8079,-60.8079,0
767.5,-60.806,-60.806,0
767.75,-60.804,-60.804,0
768,-60.8021,-60.8021,0
768.25,-60.8002,-60.8002,0
768.5,-60.7982,-60.7982,0
768.75,-60.7963,-60.7963,0
769,-60.7944,-60.7944,0
769.25,-60.7924,-60.7924,0
769.5,-60.7905,-60.7905,0
769.75,-60.7886,-60.7886,0
770,-60.7866,-60.7866,0
770.25,-60.7847,-60.7847,0
770.5,-60.7827,-60.7827,0
770.75,-60.7808,-60.7808,0
771,-60.7789,-60.7789,0
771.25,-60.7769,-60.7769,0
771.5,-60.775,-60.775,0
771.75,-60.773,-60.773,0
772,-60.7711,-60.7711,0
772.25,-60.7692,-60.7692,0
772.5,-60.7672,-60.7672,0
772.75,-60.7653,-60.7653,0
773,-60.7633,-60.7633,0
773.25,-60.7614,-60.7614,0
773.5,-60.7595,-60.7595,0
773.75,-60.7575,-60.7575,0
774,-60.7556,-60.7556,0
774.25,-60.7536,-60.7536,0
