# OpenSim computeMomentArm, model/rat_hindlimb_faz1a.osim, poz cl_grid3d FIX (kalca 39.94 derece); panel b sarma kumesi bosaltilarak olculdu
# dogrulama_momentkolu.png kaynak verisi
panel,x_derece,kas,r_mm
a_diz_suprusu,-110.932,RF,3.7316
a_diz_suprusu,-110.932,VL,3.7152
a_diz_suprusu,-110.932,VI,3.7192
a_diz_suprusu,-110.932,VM,3.7299
a_diz_suprusu,-110.932,SM,-3.5663
a_diz_suprusu,-110.932,STa,-15.0668
a_diz_suprusu,-110.932,STp,-14.3001
a_diz_suprusu,-110.932,BFp,-13.5111
a_diz_suprusu,-110.932,GP,-12.0531
a_diz_suprusu,-110.932,GA,-9.0799
a_diz_suprusu,-110.932,Pla,-4.1216
a_diz_suprusu,-110.932,MG,-3.4534
a_diz_suprusu,-110.932,LG,-3.1262
a_diz_suprusu,-110.932,Pop,-1.5067
a_diz_suprusu,-109.831,RF,3.7209
a_diz_suprusu,-109.831,VL,3.6966
a_diz_suprusu,-109.831,VI,3.7019
a_diz_suprusu,-109.831,VM,3.7179
a_diz_suprusu,-109.831,SM,-3.5433
a_diz_suprusu,-109.831,STa,-15.0233
a_diz_suprusu,-109.831,STp,-14.2265
a_diz_suprusu,-109.831,BFp,-13.4789
a_diz_suprusu,-109.831,GP,-12.0204
a_diz_suprusu,-109.831,GA,-9.0491
a_diz_suprusu,-109.831,Pla,-4.1181
a_diz_suprusu,-109.831,MG,-3.4544
a_diz_suprusu,-109.831,LG,-3.1307
a_diz_suprusu,-109.831,Pop,-1.4907
a_diz_suprusu,-108.729,RF,3.7101
a_diz_suprusu,-108.729,VL,3.6786
a_diz_suprusu,-108.729,VI,3.6851
a_diz_suprusu,-108.729,VM,3.7058
a_diz_suprusu,-108.729,SM,-3.5213
a_diz_suprusu,-108.729,STa,-14.9766
a_diz_suprusu,-108.729,STp,-14.1501
a_diz_suprusu,-108.729,BFp,-13.4442
a_diz_suprusu,-108.729,GP,-11.9867
a_diz_suprusu,-108.729,GA,-9.0183
a_diz_suprusu,-108.729,Pla,-4.1138
a_diz_suprusu,-108.729,MG,-3.4548
a_diz_suprusu,-108.729,LG,-3.1348
a_diz_suprusu,-108.729,Pop,-1.4726
a_diz_suprusu,-107.627,RF,3.7009
a_diz_suprusu,-107.627,VL,3.6635
a_diz_suprusu,-107.627,VI,3.6710
a_diz_suprusu,-107.627,VM,3.6956
a_diz_suprusu,-107.627,SM,-3.4989
a_diz_suprusu,-107.627,STa,-14.9242
a_diz_suprusu,-107.627,STp,-14.0680
a_diz_suprusu,-107.627,BFp,-13.4057
a_diz_suprusu,-107.627,GP,-11.9507
a_diz_suprusu,-107.627,GA,-8.9864
a_diz_suprusu,-107.627,Pla,-4.1081
a_diz_suprusu,-107.627,MG,-3.4542
a_diz_suprusu,-107.627,LG,-3.1378
a_diz_suprusu,-107.627,Pop,-1.4524
a_diz_suprusu,-106.525,RF,3.6937
a_diz_suprusu,-106.525,VL,3.6518
a_diz_suprusu,-106.525,VI,3.6599
a_diz_suprusu,-106.525,VM,3.6874
a_diz_suprusu,-106.525,SM,-3.4759
a_diz_suprusu,-106.525,STa,-14.8659
a_diz_suprusu,-106.525,STp,-13.9802
a_diz_suprusu,-106.525,BFp,-13.3635
a_diz_suprusu,-106.525,GP,-11.9124
a_diz_suprusu,-106.525,GA,-8.9531
a_diz_suprusu,-106.525,Pla,-4.1007
a_diz_suprusu,-106.525,MG,-3.4521
a_diz_suprusu,-106.525,LG,-3.1395
a_diz_suprusu,-106.525,Pop,-1.4301
a_diz_suprusu,-105.424,RF,3.6887
a_diz_suprusu,-105.424,VL,3.6435
a_diz_suprusu,-105.424,VI,3.6523
a_diz_suprusu,-105.424,VM,3.6818
a_diz_suprusu,-105.424,SM,-3.4523
a_diz_suprusu,-105.424,STa,-14.8018
a_diz_suprusu,-105.424,STp,-13.8864
a_diz_suprusu,-105.424,BFp,-13.3177
a_diz_suprusu,-105.424,GP,-11.8718
a_diz_suprusu,-105.424,GA,-8.9183
a_diz_suprusu,-105.424,Pla,-4.0912
a_diz_suprusu,-105.424,MG,-3.4482
a_diz_suprusu,-105.424,LG,-3.1394
a_diz_suprusu,-105.424,Pop,-1.4057
a_diz_suprusu,-104.322,RF,3.6862
a_diz_suprusu,-104.322,VL,3.6393
a_diz_suprusu,-104.322,VI,3.6483
a_diz_suprusu,-104.322,VM,3.6790
a_diz_suprusu,-104.322,SM,-3.4279
a_diz_suprusu,-104.322,STa,-14.7318
a_diz_suprusu,-104.322,STp,-13.7866
a_diz_suprusu,-104.322,BFp,-13.2685
a_diz_suprusu,-104.322,GP,-11.8286
a_diz_suprusu,-104.322,GA,-8.8819
a_diz_suprusu,-104.322,Pla,-4.0793
a_diz_suprusu,-104.322,MG,-3.4422
a_diz_suprusu,-104.322,LG,-3.1372
a_diz_suprusu,-104.322,Pop,-1.3792
a_diz_suprusu,-103.220,RF,3.6867
a_diz_suprusu,-103.220,VL,3.6393
a_diz_suprusu,-103.220,VI,3.6483
a_diz_suprusu,-103.220,VM,3.6793
a_diz_suprusu,-103.220,SM,-3.4026
a_diz_suprusu,-103.220,STa,-14.6558
a_diz_suprusu,-103.220,STp,-13.6807
a_diz_suprusu,-103.220,BFp,-13.2158
a_diz_suprusu,-103.220,GP,-11.7828
a_diz_suprusu,-103.220,GA,-8.8436
a_diz_suprusu,-103.220,Pla,-4.0645
a_diz_suprusu,-103.220,MG,-3.4336
a_diz_suprusu,-103.220,LG,-3.1324
a_diz_suprusu,-103.220,Pop,-1.3506
a_diz_suprusu,-102.119,RF,3.6904
a_diz_suprusu,-102.119,VL,3.6440
a_diz_suprusu,-102.119,VI,3.6528
a_diz_suprusu,-102.119,VM,3.6831
a_diz_suprusu,-102.119,SM,-3.3764
a_diz_suprusu,-102.119,STa,-14.5737
a_diz_suprusu,-102.119,STp,-13.5687
a_diz_suprusu,-102.119,BFp,-13.1600
a_diz_suprusu,-102.119,GP,-11.7344
a_diz_suprusu,-102.119,GA,-8.8034
a_diz_suprusu,-102.119,Pla,-4.0466
a_diz_suprusu,-102.119,MG,-3.4221
a_diz_suprusu,-102.119,LG,-3.1249
a_diz_suprusu,-102.119,Pop,-1.3198
a_diz_suprusu,-101.017,RF,3.6977
a_diz_suprusu,-101.017,VL,3.6535
a_diz_suprusu,-101.017,VI,3.6619
a_diz_suprusu,-101.017,VM,3.6907
a_diz_suprusu,-101.017,SM,-3.3492
a_diz_suprusu,-101.017,STa,-14.4856
a_diz_suprusu,-101.017,STp,-13.4503
a_diz_suprusu,-101.017,BFp,-13.1010
a_diz_suprusu,-101.017,GP,-11.6832
a_diz_suprusu,-101.017,GA,-8.7610
a_diz_suprusu,-101.017,Pla,-4.0252
a_diz_suprusu,-101.017,MG,-3.4074
a_diz_suprusu,-101.017,LG,-3.1141
a_diz_suprusu,-101.017,Pop,-1.2869
a_diz_suprusu,-99.915,RF,3.7088
a_diz_suprusu,-99.915,VL,3.6683
a_diz_suprusu,-99.915,VI,3.6761
a_diz_suprusu,-99.915,VM,3.7025
a_diz_suprusu,-99.915,SM,-3.3209
a_diz_suprusu,-99.915,STa,-14.3913
a_diz_suprusu,-99.915,STp,-13.3256
a_diz_suprusu,-99.915,BFp,-13.0391
a_diz_suprusu,-99.915,GP,-11.6292
a_diz_suprusu,-99.915,GA,-8.7165
a_diz_suprusu,-99.915,Pla,-4.0001
a_diz_suprusu,-99.915,MG,-3.3892
a_diz_suprusu,-99.915,LG,-3.0999
a_diz_suprusu,-99.915,Pop,-1.2519
a_diz_suprusu,-98.814,RF,3.7192
a_diz_suprusu,-98.814,VL,3.6825
a_diz_suprusu,-98.814,VI,3.6899
a_diz_suprusu,-98.814,VM,3.7135
a_diz_suprusu,-98.814,SM,-3.2941
a_diz_suprusu,-98.814,STa,-14.2960
a_diz_suprusu,-98.814,STp,-13.2002
a_diz_suprusu,-98.814,BFp,-12.9769
a_diz_suprusu,-98.814,GP,-11.5746
a_diz_suprusu,-98.814,GA,-8.6722
a_diz_suprusu,-98.814,Pla,-3.9740
a_diz_suprusu,-98.814,MG,-3.3701
a_diz_suprusu,-98.814,LG,-3.0849
a_diz_suprusu,-98.814,Pop,-1.2168
a_diz_suprusu,-97.712,RF,3.7251
a_diz_suprusu,-97.712,VL,3.6918
a_diz_suprusu,-97.712,VI,3.6984
a_diz_suprusu,-97.712,VM,3.7199
a_diz_suprusu,-97.712,SM,-3.2709
a_diz_suprusu,-97.712,STa,-14.2035
a_diz_suprusu,-97.712,STp,-13.0783
a_diz_suprusu,-97.712,BFp,-12.9164
a_diz_suprusu,-97.712,GP,-11.5213
a_diz_suprusu,-97.712,GA,-8.6300
a_diz_suprusu,-97.712,Pla,-3.9493
a_diz_suprusu,-97.712,MG,-3.3523
a_diz_suprusu,-97.712,LG,-3.0715
a_diz_suprusu,-97.712,Pop,-1.1835
a_diz_suprusu,-96.610,RF,3.7267
a_diz_suprusu,-96.610,VL,3.6958
a_diz_suprusu,-96.610,VI,3.7021
a_diz_suprusu,-96.610,VM,3.7220
a_diz_suprusu,-96.610,SM,-3.2515
a_diz_suprusu,-96.610,STa,-14.1140
a_diz_suprusu,-96.610,STp,-12.9600
a_diz_suprusu,-96.610,BFp,-12.8575
a_diz_suprusu,-96.610,GP,-11.4695
a_diz_suprusu,-96.610,GA,-8.5902
a_diz_suprusu,-96.610,Pla,-3.9262
a_diz_suprusu,-96.610,MG,-3.3360
a_diz_suprusu,-96.610,LG,-3.0598
a_diz_suprusu,-96.610,Pop,-1.1517
a_diz_suprusu,-95.508,RF,3.7241
a_diz_suprusu,-95.508,VL,3.6951
a_diz_suprusu,-95.508,VI,3.7010
a_diz_suprusu,-95.508,VM,3.7197
a_diz_suprusu,-95.508,SM,-3.2360
a_diz_suprusu,-95.508,STa,-14.0275
a_diz_suprusu,-95.508,STp,-12.8455
a_diz_suprusu,-95.508,BFp,-12.8003
a_diz_suprusu,-95.508,GP,-11.4192
a_diz_suprusu,-95.508,GA,-8.5528
a_diz_suprusu,-95.508,Pla,-3.9047
a_diz_suprusu,-95.508,MG,-3.3212
a_diz_suprusu,-95.508,LG,-3.0500
a_diz_suprusu,-95.508,Pop,-1.1216
a_diz_suprusu,-94.407,RF,3.7174
a_diz_suprusu,-94.407,VL,3.6896
a_diz_suprusu,-94.407,VI,3.6952
a_diz_suprusu,-94.407,VM,3.7132
a_diz_suprusu,-94.407,SM,-3.2246
a_diz_suprusu,-94.407,STa,-13.9442
a_diz_suprusu,-94.407,STp,-12.7347
a_diz_suprusu,-94.407,BFp,-12.7449
a_diz_suprusu,-94.407,GP,-11.3707
a_diz_suprusu,-94.407,GA,-8.5180
a_diz_suprusu,-94.407,Pla,-3.8851
a_diz_suprusu,-94.407,MG,-3.3081
a_diz_suprusu,-94.407,LG,-3.0422
a_diz_suprusu,-94.407,Pop,-1.0931
a_diz_suprusu,-93.305,RF,3.7068
a_diz_suprusu,-93.305,VL,3.6795
a_diz_suprusu,-93.305,VI,3.6847
a_diz_suprusu,-93.305,VM,3.7027
a_diz_suprusu,-93.305,SM,-3.2174
a_diz_suprusu,-93.305,STa,-13.8641
a_diz_suprusu,-93.305,STp,-12.6278
a_diz_suprusu,-93.305,BFp,-12.6912
a_diz_suprusu,-93.305,GP,-11.3242
a_diz_suprusu,-93.305,GA,-8.4859
a_diz_suprusu,-93.305,Pla,-3.8674
a_diz_suprusu,-93.305,MG,-3.2969
a_diz_suprusu,-93.305,LG,-3.0365
a_diz_suprusu,-93.305,Pop,-1.0661
a_diz_suprusu,-92.203,RF,3.6924
a_diz_suprusu,-92.203,VL,3.6650
a_diz_suprusu,-92.203,VI,3.6702
a_diz_suprusu,-92.203,VM,3.6882
a_diz_suprusu,-92.203,SM,-3.2146
a_diz_suprusu,-92.203,STa,-13.7873
a_diz_suprusu,-92.203,STp,-12.5247
a_diz_suprusu,-92.203,BFp,-12.6393
a_diz_suprusu,-92.203,GP,-11.2798
a_diz_suprusu,-92.203,GA,-8.4567
a_diz_suprusu,-92.203,Pla,-3.8517
a_diz_suprusu,-92.203,MG,-3.2876
a_diz_suprusu,-92.203,LG,-3.0331
a_diz_suprusu,-92.203,Pop,-1.0405
a_diz_suprusu,-91.102,RF,3.6744
a_diz_suprusu,-91.102,VL,3.6462
a_diz_suprusu,-91.102,VI,3.6518
a_diz_suprusu,-91.102,VM,3.6700
a_diz_suprusu,-91.102,SM,-3.2164
a_diz_suprusu,-91.102,STa,-13.7140
a_diz_suprusu,-91.102,STp,-12.4259
a_diz_suprusu,-91.102,BFp,-12.5891
a_diz_suprusu,-91.102,GP,-11.2375
a_diz_suprusu,-91.102,GA,-8.4303
a_diz_suprusu,-91.102,Pla,-3.8381
a_diz_suprusu,-91.102,MG,-3.2804
a_diz_suprusu,-91.102,LG,-3.0320
a_diz_suprusu,-91.102,Pop,-1.0165
a_diz_suprusu,-90.000,RF,3.6529
a_diz_suprusu,-90.000,VL,3.6233
a_diz_suprusu,-90.000,VI,3.6291
a_diz_suprusu,-90.000,VM,3.6482
a_diz_suprusu,-90.000,SM,-3.2227
a_diz_suprusu,-90.000,STa,-13.6441
a_diz_suprusu,-90.000,STp,-12.3307
a_diz_suprusu,-90.000,BFp,-12.5405
a_diz_suprusu,-90.000,GP,-11.1976
a_diz_suprusu,-90.000,GA,-8.4070
a_diz_suprusu,-90.000,Pla,-3.8268
a_diz_suprusu,-90.000,MG,-3.2753
a_diz_suprusu,-90.000,LG,-3.0333
a_diz_suprusu,-90.000,Pop,-0.9940
b_sarma_acik,-120.0,RF,3.6969
b_sarma_kapali,-120.0,RF,-0.6515
b_sarma_acik,-120.0,VL,3.7266
b_sarma_kapali,-120.0,VL,-1.1828
b_sarma_acik,-120.0,VI,3.7225
b_sarma_kapali,-120.0,VI,-0.6111
b_sarma_acik,-120.0,VM,3.7031
b_sarma_kapali,-120.0,VM,-0.9706
c_kalca_suprusu,-10.000,SM,-3.9843
c_kalca_suprusu,-10.000,RF,3.6993
c_kalca_suprusu,-7.564,SM,-3.9867
c_kalca_suprusu,-7.564,RF,3.6992
c_kalca_suprusu,-5.128,SM,-3.9881
c_kalca_suprusu,-5.128,RF,3.6991
c_kalca_suprusu,-2.692,SM,-3.9885
c_kalca_suprusu,-2.692,RF,3.6989
c_kalca_suprusu,-0.256,SM,-3.9881
c_kalca_suprusu,-0.256,RF,3.6988
c_kalca_suprusu,2.179,SM,-3.9868
c_kalca_suprusu,2.179,RF,3.6986
c_kalca_suprusu,4.615,SM,-3.9846
c_kalca_suprusu,4.615,RF,3.6985
c_kalca_suprusu,7.051,SM,-3.9817
c_kalca_suprusu,7.051,RF,3.6984
c_kalca_suprusu,9.487,SM,-3.9780
c_kalca_suprusu,9.487,RF,3.6982
c_kalca_suprusu,11.923,SM,-3.9735
c_kalca_suprusu,11.923,RF,3.6981
c_kalca_suprusu,14.359,SM,-3.9683
c_kalca_suprusu,14.359,RF,3.6980
c_kalca_suprusu,16.795,SM,-3.9623
c_kalca_suprusu,16.795,RF,3.6978
c_kalca_suprusu,19.231,SM,-3.9556
c_kalca_suprusu,19.231,RF,3.6977
c_kalca_suprusu,21.667,SM,-3.9482
c_kalca_suprusu,21.667,RF,3.6976
c_kalca_suprusu,24.103,SM,-3.9400
c_kalca_suprusu,24.103,RF,3.6975
c_kalca_suprusu,26.538,SM,-3.9312
c_kalca_suprusu,26.538,RF,3.6974
c_kalca_suprusu,28.974,SM,-3.9216
c_kalca_suprusu,28.974,RF,3.6973
c_kalca_suprusu,31.410,SM,-3.9113
c_kalca_suprusu,31.410,RF,3.6972
c_kalca_suprusu,33.846,SM,-3.9003
c_kalca_suprusu,33.846,RF,3.6971
c_kalca_suprusu,36.282,SM,-3.8885
c_kalca_suprusu,36.282,RF,3.6970
c_kalca_suprusu,38.718,SM,-3.8760
c_kalca_suprusu,38.718,RF,3.6969
c_kalca_suprusu,41.154,SM,-3.8628
c_kalca_suprusu,41.154,RF,3.6969
c_kalca_suprusu,43.590,SM,-3.8489
c_kalca_suprusu,43.590,RF,3.6960
c_kalca_suprusu,46.026,SM,-3.8342
c_kalca_suprusu,46.026,RF,3.6960
c_kalca_suprusu,48.462,SM,-3.8188
c_kalca_suprusu,48.462,RF,3.6960
c_kalca_suprusu,50.897,SM,-3.8026
c_kalca_suprusu,50.897,RF,3.6960
c_kalca_suprusu,53.333,SM,-3.7858
c_kalca_suprusu,53.333,RF,3.6959
c_kalca_suprusu,55.769,SM,-3.7681
c_kalca_suprusu,55.769,RF,3.6959
c_kalca_suprusu,58.205,SM,-3.7498
c_kalca_suprusu,58.205,RF,3.6959
c_kalca_suprusu,60.641,SM,-3.7307
c_kalca_suprusu,60.641,RF,3.6959
c_kalca_suprusu,63.077,SM,-3.7109
c_kalca_suprusu,63.077,RF,3.6959
c_kalca_suprusu,65.513,SM,-3.6904
c_kalca_suprusu,65.513,RF,3.6960
c_kalca_suprusu,67.949,SM,-3.6692
c_kalca_suprusu,67.949,RF,3.6960
c_kalca_suprusu,70.385,SM,-3.6472
c_kalca_suprusu,70.385,RF,3.6961
c_kalca_suprusu,72.821,SM,-3.6245
c_kalca_suprusu,72.821,RF,3.6961
c_kalca_suprusu,75.256,SM,-3.6012
c_kalca_suprusu,75.256,RF,3.6962
c_kalca_suprusu,77.692,SM,-3.5771
c_kalca_suprusu,77.692,RF,3.6963
c_kalca_suprusu,80.128,SM,-3.5524
c_kalca_suprusu,80.128,RF,3.6963
c_kalca_suprusu,82.564,SM,-3.5270
c_kalca_suprusu,82.564,RF,3.6964
c_kalca_suprusu,85.000,SM,-3.5009
c_kalca_suprusu,85.000,RF,3.6965
