# OpenSim computeMomentArm, model/rat_hindlimb_faz1a.osim, poz cl_grid3d FIX (kalca 39.94 derece); panel b sarma kumesi bosaltilarak olculdu
# dogrulama_momentkolu.png kaynak verisi
panel,x_derece,kas,r_mm
a_diz_suprusu,-145.085,VM,2.8761
a_diz_suprusu,-145.085,SM,-4.7837
a_diz_suprusu,-145.085,STa,-15.4128
a_diz_suprusu,-145.085,STp,-16.1296
a_diz_suprusu,-145.085,BFp,-13.2745
a_diz_suprusu,-145.085,GP,-12.0690
a_diz_suprusu,-145.085,GA,-9.8229
a_diz_suprusu,-145.085,Pla,-3.6875
a_diz_suprusu,-145.085,MG,-2.9915
a_diz_suprusu,-145.085,LG,-2.5860
a_diz_suprusu,-145.085,Pop,-1.5199
a_diz_suprusu,-143.983,RF,2.9059
a_diz_suprusu,-143.983,VL,3.0200
a_diz_suprusu,-143.983,VI,2.9997
a_diz_suprusu,-143.983,VM,2.9276
a_diz_suprusu,-143.983,SM,-4.7532
a_diz_suprusu,-143.983,STa,-15.4824
a_diz_suprusu,-143.983,STp,-16.1282
a_diz_suprusu,-143.983,BFp,-13.3647
a_diz_suprusu,-143.983,GP,-12.1273
a_diz_suprusu,-143.983,GA,-9.8239
a_diz_suprusu,-143.983,Pla,-3.7176
a_diz_suprusu,-143.983,MG,-3.0189
a_diz_suprusu,-143.983,LG,-2.6138
a_diz_suprusu,-143.983,Pop,-1.5393
a_diz_suprusu,-142.881,RF,2.9575
a_diz_suprusu,-142.881,VL,3.0599
a_diz_suprusu,-142.881,VI,3.0417
a_diz_suprusu,-142.881,VM,2.9770
a_diz_suprusu,-142.881,SM,-4.7208
a_diz_suprusu,-142.881,STa,-15.5442
a_diz_suprusu,-142.881,STp,-16.1214
a_diz_suprusu,-142.881,BFp,-13.4458
a_diz_suprusu,-142.881,GP,-12.1798
a_diz_suprusu,-142.881,GA,-9.8223
a_diz_suprusu,-142.881,Pla,-3.7479
a_diz_suprusu,-142.881,MG,-3.0468
a_diz_suprusu,-142.881,LG,-2.6422
a_diz_suprusu,-142.881,Pop,-1.5575
a_diz_suprusu,-141.780,RF,3.0067
a_diz_suprusu,-141.780,VL,3.0982
a_diz_suprusu,-141.780,VI,3.0822
a_diz_suprusu,-141.780,VM,3.0242
a_diz_suprusu,-141.780,SM,-4.6868
a_diz_suprusu,-141.780,STa,-15.5984
a_diz_suprusu,-141.780,STp,-16.1093
a_diz_suprusu,-141.780,BFp,-13.5182
a_diz_suprusu,-141.780,GP,-12.2269
a_diz_suprusu,-141.780,GA,-9.8182
a_diz_suprusu,-141.780,Pla,-3.7783
a_diz_suprusu,-141.780,MG,-3.0749
a_diz_suprusu,-141.780,LG,-2.6711
a_diz_suprusu,-141.780,Pop,-1.5745
a_diz_suprusu,-140.678,RF,3.0537
a_diz_suprusu,-140.678,VL,3.1353
a_diz_suprusu,-140.678,VI,3.1212
a_diz_suprusu,-140.678,VM,3.0695
a_diz_suprusu,-140.678,SM,-4.6513
a_diz_suprusu,-140.678,STa,-15.6455
a_diz_suprusu,-140.678,STp,-16.0920
a_diz_suprusu,-140.678,BFp,-13.5826
a_diz_suprusu,-140.678,GP,-12.2689
a_diz_suprusu,-140.678,GA,-9.8120
a_diz_suprusu,-140.678,Pla,-3.8084
a_diz_suprusu,-140.678,MG,-3.1032
a_diz_suprusu,-140.678,LG,-2.7002
a_diz_suprusu,-140.678,Pop,-1.5902
a_diz_suprusu,-139.576,RF,3.0988
a_diz_suprusu,-139.576,VL,3.1714
a_diz_suprusu,-139.576,VI,3.1590
a_diz_suprusu,-139.576,VM,3.1129
a_diz_suprusu,-139.576,SM,-4.6146
a_diz_suprusu,-139.576,STa,-15.6855
a_diz_suprusu,-139.576,STp,-16.0698
a_diz_suprusu,-139.576,BFp,-13.6395
a_diz_suprusu,-139.576,GP,-12.3059
a_diz_suprusu,-139.576,GA,-9.8037
a_diz_suprusu,-139.576,Pla,-3.8383
a_diz_suprusu,-139.576,MG,-3.1314
a_diz_suprusu,-139.576,LG,-2.7295
a_diz_suprusu,-139.576,Pop,-1.6044
a_diz_suprusu,-138.475,RF,3.1420
a_diz_suprusu,-138.475,VL,3.2070
a_diz_suprusu,-138.475,VI,3.1961
a_diz_suprusu,-138.475,VM,3.1550
a_diz_suprusu,-138.475,SM,-4.5771
a_diz_suprusu,-138.475,STa,-15.7188
a_diz_suprusu,-138.475,STp,-16.0423
a_diz_suprusu,-138.475,BFp,-13.6893
a_diz_suprusu,-138.475,GP,-12.3388
a_diz_suprusu,-138.475,GA,-9.7940
a_diz_suprusu,-138.475,Pla,-3.8675
a_diz_suprusu,-138.475,MG,-3.1592
a_diz_suprusu,-138.475,LG,-2.7585
a_diz_suprusu,-138.475,Pop,-1.6165
a_diz_suprusu,-137.373,RF,3.1844
a_diz_suprusu,-137.373,VL,3.2425
a_diz_suprusu,-137.373,VI,3.2330
a_diz_suprusu,-137.373,VM,3.1961
a_diz_suprusu,-137.373,SM,-4.5390
a_diz_suprusu,-137.373,STa,-15.7455
a_diz_suprusu,-137.373,STp,-16.0102
a_diz_suprusu,-137.373,BFp,-13.7325
a_diz_suprusu,-137.373,GP,-12.3679
a_diz_suprusu,-137.373,GA,-9.7831
a_diz_suprusu,-137.373,Pla,-3.8958
a_diz_suprusu,-137.373,MG,-3.1864
a_diz_suprusu,-137.373,LG,-2.7871
a_diz_suprusu,-137.373,Pop,-1.6263
a_diz_suprusu,-136.271,RF,3.2254
a_diz_suprusu,-136.271,VL,3.2779
a_diz_suprusu,-136.271,VI,3.2697
a_diz_suprusu,-136.271,VM,3.2363
a_diz_suprusu,-136.271,SM,-4.5005
a_diz_suprusu,-136.271,STa,-15.7658
a_diz_suprusu,-136.271,STp,-15.9734
a_diz_suprusu,-136.271,BFp,-13.7696
a_diz_suprusu,-136.271,GP,-12.3932
a_diz_suprusu,-136.271,GA,-9.7711
a_diz_suprusu,-136.271,Pla,-3.9231
a_diz_suprusu,-136.271,MG,-3.2127
a_diz_suprusu,-136.271,LG,-2.8150
a_diz_suprusu,-136.271,Pop,-1.6337
a_diz_suprusu,-135.169,RF,3.2657
a_diz_suprusu,-135.169,VL,3.3137
a_diz_suprusu,-135.169,VI,3.3063
a_diz_suprusu,-135.169,VM,3.2758
a_diz_suprusu,-135.169,SM,-4.4616
a_diz_suprusu,-135.169,STa,-15.7798
a_diz_suprusu,-135.169,STp,-15.9317
a_diz_suprusu,-135.169,BFp,-13.8009
a_diz_suprusu,-135.169,GP,-12.4150
a_diz_suprusu,-135.169,GA,-9.7579
a_diz_suprusu,-135.169,Pla,-3.9490
a_diz_suprusu,-135.169,MG,-3.2380
a_diz_suprusu,-135.169,LG,-2.8421
a_diz_suprusu,-135.169,Pop,-1.6388
a_diz_suprusu,-134.068,RF,3.3052
a_diz_suprusu,-134.068,VL,3.3499
a_diz_suprusu,-134.068,VI,3.3431
a_diz_suprusu,-134.068,VM,3.3148
a_diz_suprusu,-134.068,SM,-4.4224
a_diz_suprusu,-134.068,STa,-15.7878
a_diz_suprusu,-134.068,STp,-15.8856
a_diz_suprusu,-134.068,BFp,-13.8267
a_diz_suprusu,-134.068,GP,-12.4334
a_diz_suprusu,-134.068,GA,-9.7437
a_diz_suprusu,-134.068,Pla,-3.9734
a_diz_suprusu,-134.068,MG,-3.2621
a_diz_suprusu,-134.068,LG,-2.8681
a_diz_suprusu,-134.068,Pop,-1.6415
a_diz_suprusu,-132.966,RF,3.3442
a_diz_suprusu,-132.966,VL,3.3865
a_diz_suprusu,-132.966,VI,3.3802
a_diz_suprusu,-132.966,VM,3.3533
a_diz_suprusu,-132.966,SM,-4.3830
a_diz_suprusu,-132.966,STa,-15.7898
a_diz_suprusu,-132.966,STp,-15.8343
a_diz_suprusu,-132.966,BFp,-13.8473
a_diz_suprusu,-132.966,GP,-12.4484
a_diz_suprusu,-132.966,GA,-9.7284
a_diz_suprusu,-132.966,Pla,-3.9962
a_diz_suprusu,-132.966,MG,-3.2847
a_diz_suprusu,-132.966,LG,-2.8928
a_diz_suprusu,-132.966,Pop,-1.6417
a_diz_suprusu,-131.864,RF,3.3826
a_diz_suprusu,-131.864,VL,3.4238
a_diz_suprusu,-131.864,VI,3.4177
a_diz_suprusu,-131.864,VM,3.3915
a_diz_suprusu,-131.864,SM,-4.3434
a_diz_suprusu,-131.864,STa,-15.7860
a_diz_suprusu,-131.864,STp,-15.7785
a_diz_suprusu,-131.864,BFp,-13.8631
a_diz_suprusu,-131.864,GP,-12.4603
a_diz_suprusu,-131.864,GA,-9.7120
a_diz_suprusu,-131.864,Pla,-4.0171
a_diz_suprusu,-131.864,MG,-3.3056
a_diz_suprusu,-131.864,LG,-2.9160
a_diz_suprusu,-131.864,Pop,-1.6395
a_diz_suprusu,-130.763,RF,3.4208
a_diz_suprusu,-130.763,VL,3.4618
a_diz_suprusu,-130.763,VI,3.4558
a_diz_suprusu,-130.763,VM,3.4296
a_diz_suprusu,-130.763,SM,-4.3037
a_diz_suprusu,-130.763,STa,-15.7765
a_diz_suprusu,-130.763,STp,-15.7194
a_diz_suprusu,-130.763,BFp,-13.8743
a_diz_suprusu,-130.763,GP,-12.4690
a_diz_suprusu,-130.763,GA,-9.6946
a_diz_suprusu,-130.763,Pla,-4.0358
a_diz_suprusu,-130.763,MG,-3.3247
a_diz_suprusu,-130.763,LG,-2.9376
a_diz_suprusu,-130.763,Pop,-1.6349
a_diz_suprusu,-129.661,RF,3.4587
a_diz_suprusu,-129.661,VL,3.5006
a_diz_suprusu,-129.661,VI,3.4944
a_diz_suprusu,-129.661,VM,3.4676
a_diz_suprusu,-129.661,SM,-4.2638
a_diz_suprusu,-129.661,STa,-15.7614
a_diz_suprusu,-129.661,STp,-15.6543
a_diz_suprusu,-129.661,BFp,-13.8812
a_diz_suprusu,-129.661,GP,-12.4747
a_diz_suprusu,-129.661,GA,-9.6761
a_diz_suprusu,-129.661,Pla,-4.0524
a_diz_suprusu,-129.661,MG,-3.3418
a_diz_suprusu,-129.661,LG,-2.9572
a_diz_suprusu,-129.661,Pop,-1.6280
a_diz_suprusu,-128.559,RF,3.4945
a_diz_suprusu,-128.559,VL,3.5371
a_diz_suprusu,-128.559,VI,3.5307
a_diz_suprusu,-128.559,VM,3.5036
a_diz_suprusu,-128.559,SM,-4.2226
a_diz_suprusu,-128.559,STa,-15.7415
