# r(t) tam dongu v3 — Ia: Kademe-2 K-modeli (Blum 2020 egri fiti, 47_ B26; b=10.4 kL=26.6 kV=27.1 p=0.53; d=lif boyu - dongu min [mm], v=lif hizi [mm/s], yalniz uzama hizi); II: Vincent v2 formulu ayni d/v sozlesmesiyle; BAYRAKLAR: fusimotor yok, surekli-hareket sonumu (genlikler ust sinir), II paketten dogrulanamadi, GI/GP/TFL guvensiz
gait_pct,BFa_Ia,BFp_Ia,CF_Ia,STp_Ia,STa_Ia,SM_Ia,QF_Ia,TFL_Ia,GMa_Ia,GMe_Ia,GMi_Ia,Pir_Ia,GP_Ia,GA_Ia,AL_Ia,AM_Ia,AB_Ia,Pec_Ia,IP_Ia,OE_Ia,OI_Ia,GS_Ia,GI_Ia,RF_Ia,VL_Ia,VI_Ia,VM_Ia,MG_Ia,LG_Ia,Pla_Ia,Sol_Ia,TA_Ia,EDL_Ia,TP_Ia,FDL_Ia,FHL_Ia,Per_Ia,Pop_Ia,BFa_II,BFp_II,CF_II,STp_II,STa_II,SM_II,QF_II,TFL_II,GMa_II,GMe_II,GMi_II,Pir_II,GP_II,GA_II,AL_II,AM_II,AB_II,Pec_II,IP_II,OE_II,OI_II,GS_II,GI_II,RF_II,VL_II,VI_II,VM_II,MG_II,LG_II,Pla_II,Sol_II,TA_II,EDL_II,TP_II,FDL_II,FHL_II,Per_II,Pop_II
5.0,144.084,348.025,225.202,290.813,406.859,294.846,116.501,141.444,153.574,90.315,19.422,33.464,431.881,264.030,148.469,196.740,204.406,30.487,112.874,11.384,45.042,30.464,73.272,121.297,113.653,113.725,108.040,47.981,45.529,52.774,116.342,46.906,45.713,72.928,78.441,80.728,43.192,32.532,64.299,275.491,93.395,238.095,312.171,225.283,103.438,63.280,67.518,44.604,13.748,28.371,325.372,223.627,128.016,158.742,161.580,49.327,53.108,20.918,55.326,32.072,74.569,55.800,53.040,53.066,51.015,47.255,39.587,57.546,56.953,63.661,60.162,38.361,40.894,41.907,57.983,48.951
5.5,147.486,344.823,224.149,288.183,403.175,293.312,116.048,145.593,157.718,92.558,19.417,33.441,428.242,261.405,147.788,195.884,203.604,30.212,115.943,11.338,44.802,30.412,72.954,125.391,117.374,117.452,111.551,47.887,45.488,52.575,120.871,46.498,45.375,75.702,81.267,83.642,42.872,32.283,65.592,275.615,93.589,238.538,312.120,225.827,103.984,64.812,69.055,45.506,14.213,28.879,325.251,223.833,128.537,159.259,162.124,49.720,54.285,21.039,55.771,32.475,75.070,57.318,54.439,54.467,52.349,46.360,37.542,57.294,58.664,64.820,61.281,39.543,42.079,43.119,59.123,49.618
6.0,150.611,341.447,224.747,285.399,399.292,291.698,115.574,149.547,161.614,94.656,19.412,33.415,424.415,258.646,147.077,194.988,202.763,29.927,118.845,11.291,44.553,30.356,72.621,129.210,120.830,120.950,114.845,47.800,45.459,52.378,124.873,46.056,45.009,78.140,83.712,86.162,42.524,32.019,66.800,275.483,94.237,238.745,311.791,226.218,104.452,66.282,70.517,46.353,14.666,29.371,324.863,223.817,128.962,159.671,162.567,50.042,55.404,21.111,56.154,32.849,75.503,58.743,55.746,55.788,53.604,45.656,35.568,57.154,60.177,65.755,62.210,40.574,43.099,44.162,60.064,50.207
6.5,153.453,337.907,225.710,282.468,395.222,290.008,115.081,153.296,165.254,96.605,19.406,33.386,420.412,255.762,146.337,194.057,201.888,29.632,121.574,11.243,44.294,30.298,72.275,132.902,124.116,124.239,117.942,47.718,45.437,52.181,128.393,45.585,44.617,80.271,85.809,88.324,42.152,31.742,67.921,275.114,94.986,238.736,311.207,226.463,104.843,67.690,71.905,47.142,15.106,29.847,324.226,223.593,129.292,159.978,162.908,50.294,56.463,21.136,56.475,33.194,75.868,60.124,56.993,57.036,54.789,45.183,33.796,57.136,61.514,66.491,62.972,41.471,43.972,45.057,60.831,50.726
7.0,156.013,334.214,112.207,279.397,390.976,288.246,114.569,156.836,168.635,98.402,19.398,33.356,416.246,252.762,145.571,193.091,200.979,29.330,124.127,11.195,44.027,30.237,71.917,136.492,127.209,127.335,120.856,47.639,45.421,51.980,131.468,45.088,44.202,82.117,87.584,90.155,41.757,31.451,68.957,274.524,58.206,238.527,310.383,226.570,105.158,69.035,73.218,47.875,15.532,30.305,323.355,223.177,129.531,160.183,163.153,50.480,57.462,21.115,56.736,33.511,76.168,61.472,58.175,58.220,55.911,44.969,32.449,57.241,62.693,67.050,63.584,42.249,44.714,45.817,61.441,51.180
7.5,158.300,330.377,116.676,276.193,386.565,286.417,114.041,160.168,171.763,100.052,19.391,33.323,411.927,249.656,144.781,192.094,200.041,29.020,126.508,11.147,43.753,30.173,71.547,139.846,130.119,130.248,123.597,47.560,45.408,51.776,134.124,44.569,43.766,83.697,89.061,91.679,41.344,31.149,69.909,273.727,59.758,238.132,309.335,226.546,105.402,70.319,74.458,48.553,15.941,30.742,322.266,222.582,129.683,160.293,163.304,50.602,58.404,21.050,56.940,33.799,76.405,62.745,59.297,59.343,56.974,45.022,31.811,57.464,63.728,67.448,64.062,42.917,45.337,46.456,61.907,51.574
8.0,160.329,326.407,230.810,272.865,382.003,284.525,113.497,163.302,174.653,101.562,19.382,33.288,407.469,246.451,143.969,191.070,199.075,28.706,128.724,11.100,43.472,30.107,71.168,143.023,132.853,132.985,126.170,47.479,45.396,51.565,136.389,44.031,43.313,85.028,90.261,92.917,40.913,30.835,70.784,272.738,97.063,237.558,308.079,226.402,105.579,71.545,75.630,49.181,16.334,31.160,320.975,221.820,129.755,160.313,163.369,50.665,59.292,20.944,57.092,34.061,76.584,63.963,60.362,60.409,57.982,45.329,32.049,57.794,64.628,67.700,64.417,43.484,45.850,46.983,62.242,51.911
8.5,162.121,322.314,230.797,269.419,377.299,282.575,112.940,166.252,177.322,102.942,19.372,33.250,402.883,243.157,143.138,190.020,198.084,28.386,130.789,11.053,43.185,30.039,70.780,146.035,135.412,135.547,128.579,47.394,45.382,51.345,138.286,43.479,42.845,86.125,91.202,93.890,40.470,30.511,71.587,271.568,97.540,236.816,306.628,226.145,105.695,72.719,76.739,49.762,16.710,31.559,319.496,220.904,129.754,160.252,163.355,50.676,60.131,20.800,57.195,34.299,76.710,65.129,61.372,61.419,58.935,45.852,33.037,58.213,65.404,67.817,64.661,43.958,46.262,47.408,62.456,52.194
9.0,163.703,318.107,229.851,265.864,372.465,280.571,112.370,169.039,179.796,104.208,19.362,33.211,398.182,239.782,142.290,188.947,197.071,28.063,132.720,11.007,42.894,29.968,70.384,148.884,137.797,137.933,130.822,47.302,45.364,51.116,139.839,42.915,42.365,87.003,91.905,94.617,40.015,30.177,72.326,270.229,97.744,235.914,304.995,225.785,105.758,73.846,77.793,50.302,17.070,31.938,317.844,219.845,129.688,160.120,163.273,50.641,60.927,20.622,57.257,34.516,76.790,66.247,62.326,62.374,59.835,46.543,34.476,58.699,66.064,67.814,64.803,44.345,46.581,47.738,62.561,52.424
9.5,165.104,313.798,227.853,262.207,367.514,278.518,111.789,171.690,182.106,105.377,19.350,33.169,393.375,236.335,141.427,187.855,196.037,27.738,134.538,10.963,42.598,29.895,69.982,151.574,140.004,140.141,132.896,47.203,45.339,50.875,141.074,42.344,41.874,87.680,92.391,95.121,39.552,29.834,73.010,268.733,97.620,234.860,303.191,225.331,105.776,74.934,78.800,50.808,17.415,32.301,316.032,218.655,129.568,159.927,163.131,50.567,61.687,20.413,57.284,34.714,76.831,67.317,63.224,63.273,60.681,47.347,36.103,59.227,66.618,67.702,64.855,44.653,46.817,47.982,62.565,52.602
10.0,166.358,309.397,226.603,258.458,362.456,276.419,111.198,174.233,184.283,106.468,19.338,33.124,388.475,232.824,140.551,186.744,194.985,27.410,136.267,10.919,42.299,29.821,69.573,154.106,142.028,142.166,134.796,47.093,45.307,50.621,142.020,41.768,41.375,88.173,92.681,95.423,39.084,29.484,73.649,267.088,97.692,233.659,301.230,224.793,105.757,75.994,79.771,51.286,17.746,32.649,314.074,217.344,129.404,159.685,162.941,50.462,62.419,20.176,57.282,34.896,76.841,68.339,64.065,64.114,61.471,48.208,37.748,59.771,67.075,67.493,64.826,44.890,46.976,48.149,62.479,52.728
10.5,167.497,304.912,225.375,254.625,357.304,274.278,110.597,176.700,186.365,107.501,19.325,33.078,383.492,229.255,139.662,185.616,193.915,27.082,137.933,10.877,41.996,29.745,69.158,156.481,143.862,144.001,136.517,46.973,45.266,50.355,142.707,41.190,40.870,88.503,92.798,95.548,38.612,29.126,74.253,265.306,97.751,232.319,299.121,224.181,105.710,77.034,80.716,51.745,18.066,32.985,311.983,215.921,129.206,159.404,162.714,50.333,63.132,19.916,57.258,35.068,76.827,69.316,64.847,64.896,62.203,49.076,39.315,60.303,67.445,67.200,64.725,45.062,47.069,48.248,62.314,52.803
11.0,168.556,300.356,192.089,250.716,352.067,272.098,109.988,179.125,188.387,108.499,19.310,33.029,378.435,225.638,138.761,184.473,192.830,26.752,139.563,10.836,41.691,29.666,68.738,158.702,145.499,145.637,138.050,46.842,45.215,50.075,143.167,40.613,40.360,88.689,92.768,95.521,38.138,28.763,74.832,263.395,88.121,230.845,296.875,223.503,105.644,78.065,81.646,52.191,18.376,33.312,309.771,214.397,128.985,159.097,162.460,50.187,63.835,19.634,57.221,35.233,76.797,70.246,65.566,65.616,62.875,49.909,40.751,60.800,67.738,66.836,64.563,45.178,47.103,48.287,62.081,52.826
11.5,169.567,295.736,190.290,246.742,346.758,269.882,109.370,181.541,190.385,109.480,19.295,32.977,373.315,221.979,137.850,183.314,191.728,26.422,141.183,10.797,41.383,29.586,68.313,160.770,146.930,147.065,139.388,46.700,45.154,49.782,143.436,40.038,39.849,88.755,92.614,95.366,37.664,28.395,75.396,261.365,87.672,229.240,294.503,222.767,105.567,79.097,82.570,52.632,18.680,33.633,307.449,212.780,128.750,158.773,162.190,50.032,64.536,19.334,57.175,35.394,76.758,71.132,66.221,66.270,63.485,50.669,42.020,61.235,67.965,66.412,64.348,45.246,47.089,48.277,61.791,52.796
12.0,170.559,291.064,222.510,242.711,341.386,267.631,108.743,183.979,192.390,110.465,19.279,32.924,368.140,218.284,136.927,182.140,190.610,26.091,142.817,10.759,41.073,29.504,67.883,162.687,148.146,148.280,140.523,46.547,45.084,49.478,143.549,39.468,39.336,88.723,92.361,95.111,37.192,28.024,75.954,259.223,97.819,227.514,292.013,221.982,105.487,80.139,83.500,53.074,18.978,33.952,305.028,211.078,128.509,158.441,161.914,49.873,65.243,19.016,57.127,35.554,76.716,71.973,66.808,66.857,64.029,51.327,43.101,61.590,68.138,65.942,64.091,45.276,47.035,48.226,61.456,52.715
12.5,171.556,286.349,221.503,238.634,335.963,265.347,108.107,186.469,194.434,111.471,19.262,32.868,362.919,214.561,135.992,180.951,189.477,25.760,144.489,10.723,40.760,29.421,67.448,164.455,149.141,149.273,141.447,46.385,45.005,49.163,143.541,38.903,38.823,88.616,92.035,94.779,36.723,27.650,76.512,256.977,97.889,222.658,289.414,221.153,105.409,81.200,84.442,53.525,19.274,34.270,302.517,209.297,128.270,158.111,161.638,49.715,65.964,18.681,57.082,35.719,76.679,72.769,67.324,67.372,64.505,51.858,43.977,61.845,68.269,65.439,63.800,45.275,46.951,48.145,61.085,52.580
13.0,172.578,281.599,220.607,235.180,330.499,263.033,107.462,189.034,196.538,112.511,19.244,32.809,357.660,210.816,135.046,179.745,188.326,25.428,146.216,10.689,40.444,29.335,67.008,166.075,149.906,150.035,142.151,46.214,44.918,48.840,143.446,38.345,38.311,88.454,91.658,94.395,36.258,27.275,77.079,254.635,97.978,224.094,286.715,220.287,105.340,82.287,85.406,53.989,19.569,34.591,299.925,207.444,128.040,157.788,161.369,49.562,66.705,18.329,57.044,35.889,76.649,73.521,67.766,67.814,64.909,52.244,44.636,61.984,68.368,64.912,63.481,45.252,46.846,48.042,60.691,52.392
13.5,173.639,276.826,219.829,230.377,325.004,260.689,106.808,191.694,198.723,113.596,19.225,32.748,352.369,207.055,134.087,178.522,187.157,25.096,148.013,10.657,40.126,29.247,66.561,167.551,150.529,150.560,142.633,46.038,44.825,48.511,143.295,37.795,37.800,88.258,91.250,93.980,35.796,26.901,77.657,252.204,98.089,224.503,283.922,219.387,105.282,83.407,86.396,54.469,19.866,34.917,297.258,205.524,127.821,157.476,161.112,49.418,67.471,17.957,57.016,36.067,76.630,74.230,68.162,68.178,65.239,52.469,45.068,61.994,68.445,64.374,63.143,45.214,46.727,47.925,60.282,52.151
14.0,174.747,272.037,218.389,226.224,319.489,258.316,106.142,194.463,201.001,114.735,19.204,32.684,347.056,203.284,133.114,177.280,185.968,24.763,149.893,10.626,39.803,29.157,66.109,168.886,150.817,150.843,142.887,45.858,44.729,48.180,143.115,37.252,37.292,88.045,90.830,93.551,35.340,26.528,78.251,249.689,97.990,219.477,281.043,218.456,105.239,84.564,87.417,54.969,20.165,35.250,294.524,203.543,127.617,157.179,160.869,49.283,68.266,17.564,57.000,36.255,76.625,74.896,68.448,68.463,65.494,52.520,45.264,61.866,68.509,63.832,62.789,45.169,46.601,47.800,59.867,51.856
