# Ib surucusu v2 — F(t)/maksF; normalizasyon tabani BAYRAKSIZ bolgeden (dongu %3.5+; kopru penceresi %0-3.4 katı-ayak/kopru artefakt bayragi tasir ve 1.0 asabilir); kuvvet = Fmax·a·fL·fV·cos(alfa); a: stance u_stance_v4 + salinim u_swing_v2; pps kazanci Faz 4 parametresi
gait_pct,BFa_Ib,BFp_Ib,CF_Ib,STp_Ib,STa_Ib,SM_Ib,QF_Ib,TFL_Ib,GMa_Ib,GMe_Ib,GMi_Ib,Pir_Ib,GP_Ib,GA_Ib,AL_Ib,AM_Ib,AB_Ib,Pec_Ib,IP_Ib,OE_Ib,OI_Ib,GS_Ib,GI_Ib,RF_Ib,VL_Ib,VI_Ib,VM_Ib,MG_Ib,LG_Ib,Pla_Ib,Sol_Ib,TA_Ib,EDL_Ib,TP_Ib,FDL_Ib,FHL_Ib,Per_Ib,Pop_Ib
7.0,0.67239,0.95320,0.00000,0.00000,0.99343,0.92676,0.94888,0.00000,0.88491,0.00000,0.00000,0.80879,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.14595,0.96049,0.86058,0.99158,0.96496,0.88487,0.87991,0.88803,0.00000,0.89394,0.00000,0.91631,0.73298,0.00000,0.96056,0.00000,1.00000,0.00000,0.00000
7.5,0.68372,0.91395,0.00000,0.00000,0.94010,0.90450,0.91890,0.00000,0.84429,0.00000,0.00000,0.80713,0.00073,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.10176,0.92430,0.85035,0.94467,0.93658,0.87535,0.87067,0.87791,0.00000,0.86578,0.00001,0.89993,0.69886,0.00000,0.94231,0.00000,0.95080,0.00000,0.00000
8.0,0.78884,0.99019,0.00000,0.00000,1.00000,0.97403,0.98387,0.00000,0.95219,0.00000,0.00000,0.88563,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.10864,0.98867,0.93060,1.00000,0.99439,0.94308,0.93863,0.94546,0.00000,0.90030,0.00000,0.95771,0.70313,0.00000,0.98766,0.00000,0.97625,0.00000,0.00000
8.5,0.79619,0.94342,0.00000,0.00000,0.94375,0.94827,0.95268,0.00000,0.90719,0.00000,0.00000,0.88173,0.00003,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.04491,0.95256,0.91652,0.95531,0.96481,0.93280,0.92884,0.93454,0.00000,0.88329,0.00000,0.94424,0.67607,0.00000,0.97006,0.00000,0.92921,0.00000,0.00000
9.0,0.89253,1.00000,0.00000,0.00000,0.98461,1.00000,1.00000,0.00000,0.99808,0.00000,0.00000,0.94519,0.00044,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.04053,1.00000,0.98017,0.99391,1.00000,0.98228,0.97892,0.98374,0.00000,0.91467,0.00000,0.98809,0.67545,0.00000,1.00000,0.00000,0.93696,0.00000,0.00000
9.5,0.89341,0.94793,0.00000,0.00000,0.92724,0.97107,0.96714,0.00000,0.95142,0.00000,0.00000,0.93953,0.00613,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.96319,0.96181,0.95037,0.96936,0.97090,0.96820,0.97171,0.00000,0.89828,0.00000,0.97425,0.64954,0.00000,0.97843,0.00000,0.89025,0.00000,0.00000
10.0,0.96270,0.97354,0.00000,0.00000,0.94081,0.99864,0.99011,0.00000,1.00000,0.00000,0.00000,0.98175,0.75075,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.98568,1.00000,0.96512,0.98000,0.99957,0.99774,1.00000,0.00000,0.91748,0.00000,1.00000,0.64393,0.00000,0.99092,0.00000,0.88009,0.00000,0.00000
10.5,0.97017,0.92862,0.00000,0.00000,0.89309,0.97296,0.96216,0.00000,0.98685,0.00000,0.00000,0.98178,0.46545,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.95583,0.98579,0.92941,0.95629,0.99222,0.99125,0.99209,0.00000,0.89860,0.00000,0.98793,0.61156,0.00000,0.96286,0.00000,0.83757,0.00000,0.00000
11.0,0.99426,0.91714,0.00000,0.00000,0.87549,0.97404,0.95720,0.00000,0.95634,0.00000,0.00000,0.99786,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.94780,0.99223,0.91567,0.94217,1.00000,1.00000,0.99938,0.03495,0.90476,0.00000,0.99603,0.61484,0.00000,0.96792,0.00000,0.81290,0.00000,0.00000
11.5,0.98736,0.86674,0.00000,0.00000,0.82589,0.94457,0.92497,0.00000,0.92327,0.00000,0.00000,0.99356,0.47938,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.91304,0.97122,0.87634,0.91749,0.99135,0.99228,0.99017,0.05949,0.87617,0.00000,0.98013,0.58604,0.00000,0.93776,0.00000,0.77084,0.00000,0.00000
